date,channels of interest,detect channel,experiment folder,number of GUV,weighted colocalization ch0 ch1,unweighted colocalization ch0 ch1,new punctate ch0,new punctate ch1,weighted colocalization ch0 ch2,unweighted colocalization ch0 ch2,weighted colocalization ch1 ch2,unweighted colocalization ch1 ch2,weighted colocalization ch0 ch1 ch2,unweighted colocalization ch0 ch1 ch2,new punctate ch2
01-11-2022,2,2,data/01-11-2022/10_DOPS 89.5_DOPC 0.5_Atto/200nM ALG2,107.0,0.0,0.0,0.1682242990654205,0.0,,,,,,,
01-11-2022,2,2,data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C,1212.0,0.0,0.0,0.698019801980198,0.0,,,,,,,
01-11-2022,2,2,data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C ESCRT1,663.0,0.459605026929982,0.4823529411764706,0.5716440422322775,0.8717948717948718,,,,,,,
01-11-2022,2,2,data/01-11-2022/50_DOPS 49.5_ DOPC 0.5_Atto/200nM ALG2,263.0,0.0,0.0,0.596958174904943,0.0,,,,,,,
02-13-2022,2,2,data/02-13-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/50 nM_Cy3 ESCRT-I,129.0,0.0,0.0,0.0,0.0465116279069767,,,,,,,
02-13-2022,2,2,data/02-13-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/100 nM_Cy3 ESCRT-I,11.0,0.0,0.0,0.0,0.9090909090909092,,,,,,,
02-13-2022,2,2,data/02-13-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ALG-2_50 nM Cy3 ESCRT-I,235.0,0.6345634563456346,0.7925752242171581,0.9276595744680852,0.9744680851063828,,,,,,,
02-13-2022,2,2,data/02-13-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ESCRT-II,204.0,0.0,0.0,0.0049019607843137,0.0,,,,,,,
02-13-2022,2,2,data/02-13-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Cy3_ESCRT-I,10.0,0.0,0.0,0.0,0.9,,,,,,,
02-14-2022,2,2,data/02-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM dark ALG2_50 nM Cy3 ESCRT-I_200 nM Atto 488 ESCRT-II,246.0,0.8791773778920309,0.8932291666666667,0.8739837398373984,0.9105691056910568,,,,,,,
