folder,file name,image size,adjacent,initial frame,equatorial frame,equatorial size,value 0 ch0,puncta 0 ch0,x 0,y 0,w 0,h 0,quality ch0,num frame,new punctate ch0,new punctate ch1,puncta 0 ch1,quality ch1,value 0 ch1,colocalization ch0 ch1,colocalization weight ch0 ch1,new colocalization ch0 ch1,square quality
./data/03-11-2022/69.5% DOPC_30% DOPS_0.5% Atto/100 nM Cy3 ALIX TEV Strep/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0507812,40.73656243864116,<puncta_detect_util.Puncta object at 0x7f8336df7550>,0.0205078,0.635742,0.0371094,0.0507812,False,1,False,False,<puncta_detect_util.Puncta object at 0x7f83298c1c50>,False,479.323487869724,,,,False
./data/03-11-2022/69.5% DOPC_30% DOPS_0.5% Atto/100 nM Cy3 ALIX TEV Strep/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0664062,18.066678499585578,<puncta_detect_util.Puncta object at 0x7f83298c4910>,0.0244141,0.728516,0.0488281,0.0664062,False,1,False,False,<puncta_detect_util.Puncta object at 0x7f83298c12d0>,False,433.84179037184276,,,,False
./data/03-11-2022/69.5% DOPC_30% DOPS_0.5% Atto/100 nM Cy3 ALIX TEV Strep/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0625,16.813283307478287,<puncta_detect_util.Puncta object at 0x7f83298c4090>,0.0253906,0.679688,0.0429688,0.0625,False,1,False,False,<puncta_detect_util.Puncta object at 0x7f832a348190>,False,129.5085578318599,,,,False
./data/03-11-2022/69.5% DOPC_30% DOPS_0.5% Atto/100 nM Cy3 ALIX TEV Strep/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0605469,40.979019577010604,<puncta_detect_util.Puncta object at 0x7f83298d2b90>,0.0683594,0.624023,0.0605469,0.0605469,False,1,False,False,<puncta_detect_util.Puncta object at 0x7f83298c1a90>,False,492.80840620830713,,,,True
./data/03-11-2022/69.5% DOPC_30% DOPS_0.5% Atto/100 nM Cy3 ALIX TEV Strep/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0712891,19.75133460447114,<puncta_detect_util.Puncta object at 0x7f83298d2b10>,0.0864258,0.766113,0.0712891,0.0693359,False,1,False,True,<puncta_detect_util.Puncta object at 0x7f83298be210>,False,567.9971462180138,0.0,1.0,0.0,True
./data/03-11-2022/69.5% DOPC_30% DOPS_0.5% Atto/100 nM Cy3 ALIX TEV Strep/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0957031,26.367528859754202,<puncta_detect_util.Puncta object at 0x7f832a69cb90>,0.170898,0.935547,0.0957031,0.0898438,False,1,True,True,<puncta_detect_util.Puncta object at 0x7f83298c1550>,False,219.99517680529289,0.0,11.0,0.0,True
./data/03-11-2022/69.5% DOPC_30% DOPS_0.5% Atto/100 nM Cy3 ALIX TEV Strep/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.105469,-3.031516263390131,<puncta_detect_util.Puncta object at 0x7f83298c4390>,0.224609,0.900391,0.0703125,0.105469,False,1,True,True,<puncta_detect_util.Puncta object at 0x7f8336db4990>,False,463.3702107359409,0.14285714285714285,7.0,0.0,False
./data/03-11-2022/69.5% DOPC_30% DOPS_0.5% Atto/100 nM Cy3 ALIX TEV Strep/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.200195,83.52860860690089,<puncta_detect_util.Puncta object at 0x7f83298d2890>,0.242676,0.364746,0.200195,0.18457,False,1,True,True,<puncta_detect_util.Puncta object at 0x7f83298c1210>,False,614.3949366879456,0.3829787234042553,47.0,0.0,True
./data/03-11-2022/69.5% DOPC_30% DOPS_0.5% Atto/100 nM Cy3 ALIX TEV Strep/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0664062,-2.472827261745806,<puncta_detect_util.Puncta object at 0x7f8336dbdb10>,0.28418,0.724609,0.0664062,0.0664062,False,1,True,True,<puncta_detect_util.Puncta object at 0x7f83298bea50>,False,581.8294335242367,0.0,4.0,0.0,True
./data/03-11-2022/69.5% DOPC_30% DOPS_0.5% Atto/100 nM Cy3 ALIX TEV Strep/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0878906,59.758829365640395,<puncta_detect_util.Puncta object at 0x7f83298c1610>,0.304688,0.144043,0.0878906,0.0849609,False,1,True,True,<puncta_detect_util.Puncta object at 0x7f83298c18d0>,False,494.7352703467345,0.0,3.0,0.0,True
