folder,file name,image size,adjacent,initial frame,equatorial frame,equatorial size,value 0 ch0,puncta 0 ch0,x 0,y 0,w 0,h 0,quality ch0,num frame,new punctate ch0,new punctate ch1,puncta 0 ch1,quality ch1,value 0 ch1,colocalization ch0 ch1,colocalization weight ch0 ch1,new colocalization ch0 ch1,square quality
/mount/local5/chenxi/puncta-detection/data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C ESCRT1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0507812,155.86598233057248,<puncta_detect_util.Puncta object at 0x7f0a978259d0>,0.0957031,0.581055,0.0507812,0.046875,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f0b6fd1ed50>,True,3510.7995131968946,,,,True
/mount/local5/chenxi/puncta-detection/data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C ESCRT1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0527344,150.78249545252902,<puncta_detect_util.Puncta object at 0x7f0aa1f79990>,0.0957031,0.581055,0.0527344,0.0488281,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f0bc83aa4d0>,True,3819.8008970915953,,,,True
/mount/local5/chenxi/puncta-detection/data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C ESCRT1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0595703,1128.4413032029797,<puncta_detect_util.Puncta object at 0x7f0aa1f42190>,0.240234,0.413574,0.0566406,0.0595703,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f0b6fd8af10>,True,5108.762590984828,0.0,1.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C ESCRT1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0576172,892.2681628465339,<puncta_detect_util.Puncta object at 0x7f0aa1848350>,0.240234,0.413574,0.0566406,0.0576172,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f0b6fd8aad0>,True,4688.018913754904,0.0,1.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C ESCRT1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0546875,63.69602683669609,<puncta_detect_util.Puncta object at 0x7f0b6fd86290>,0.299805,0.970703,0.0546875,0.0546875,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f0b6fd8a8d0>,True,8436.292418572419,0.0,1.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C ESCRT1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0576172,69.69350542388065,<puncta_detect_util.Puncta object at 0x7f0b6fe6e350>,0.300293,0.969727,0.0576172,0.0566406,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f0b6fd8a410>,True,9344.38489583128,0.0,1.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C ESCRT1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.136719,4232.136390555725,<puncta_detect_util.Puncta object at 0x7f0b6fe6ee10>,0.439453,0.389648,0.136719,0.119141,True,1,True,True,<puncta_detect_util.Puncta object at 0x7f0aa18b65d0>,True,6929.256444450692,0.5,2.0,0.5,False
/mount/local5/chenxi/puncta-detection/data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C ESCRT1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.132812,4284.211984022691,<puncta_detect_util.Puncta object at 0x7f0b6fd2a7d0>,0.443359,0.392578,0.132812,0.123047,True,1,True,True,<puncta_detect_util.Puncta object at 0x7f0b6fd8a610>,True,6785.3707363824105,0.5,2.0,0.5,True
/mount/local5/chenxi/puncta-detection/data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C ESCRT1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.138672,16061.881721802645,<puncta_detect_util.Puncta object at 0x7f0aa20538d0>,0.444336,0.230957,0.138672,0.131836,True,1,True,True,<puncta_detect_util.Puncta object at 0x7f0b6fd1e810>,True,5835.683571993963,0.3333333333333333,3.0,0.3333333333333333,True
/mount/local5/chenxi/puncta-detection/data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C ESCRT1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.138672,16061.881721802645,<puncta_detect_util.Puncta object at 0x7f0b6fe6e0d0>,0.444336,0.230957,0.138672,0.133789,True,1,True,True,<puncta_detect_util.Puncta object at 0x7f0b6fd1e6d0>,True,5835.683571993963,0.3333333333333333,3.0,0.3333333333333333,True
/mount/local5/chenxi/puncta-detection/data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C ESCRT1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0742188,22090.319929395206,<puncta_detect_util.Puncta object at 0x7f0a97825990>,0.546875,0.136719,0.0742188,0.0722656,True,1,True,True,<puncta_detect_util.Puncta object at 0x7f0b782414d0>,True,2790.7206187238353,1.0,1.0,1.0,True
/mount/local5/chenxi/puncta-detection/data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C ESCRT1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0732422,21683.723075871498,<puncta_detect_util.Puncta object at 0x7f0aa20534d0>,0.547363,0.136719,0.0732422,0.0703125,True,1,True,True,<puncta_detect_util.Puncta object at 0x7f0aa18b6310>,True,3106.773086619565,1.0,1.0,1.0,True
/mount/local5/chenxi/puncta-detection/data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C ESCRT1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0625,150.8296202640845,<puncta_detect_util.Puncta object at 0x7f0a975c7810>,0.648438,0.0219727,0.0625,0.0439453,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f0b6fd8ae10>,True,2960.2660567889025,,,,False
/mount/local5/chenxi/puncta-detection/data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C ESCRT1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0625,150.8296202640845,<puncta_detect_util.Puncta object at 0x7f0aa16f8d50>,0.648438,0.0219727,0.0625,0.0439453,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f0b6fd8ac10>,True,2960.2660567889025,,,,False
/mount/local5/chenxi/puncta-detection/data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C ESCRT1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0820312,11945.256518904824,<puncta_detect_util.Puncta object at 0x7f0a97825350>,0.673828,0.890137,0.0820312,0.0810547,True,1,True,True,<puncta_detect_util.Puncta object at 0x7f0b6fd8a110>,True,6035.42043775582,1.0,1.0,1.0,True
/mount/local5/chenxi/puncta-detection/data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C ESCRT1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0820312,11945.256518904824,<puncta_detect_util.Puncta object at 0x7f0a978251d0>,0.673828,0.890137,0.0820312,0.0810547,True,1,True,True,<puncta_detect_util.Puncta object at 0x7f0b6fd8a210>,True,6035.42043775582,1.0,1.0,1.0,True
/mount/local5/chenxi/puncta-detection/data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C ESCRT1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0917969,86.22328132821622,<puncta_detect_util.Puncta object at 0x7f0aa1766990>,0.817383,0.0209961,0.0917969,0.0400391,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f0b6fd8a710>,True,982.7784441369322,,,,False
/mount/local5/chenxi/puncta-detection/data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C ESCRT1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0820312,85.84696662364013,<puncta_detect_util.Puncta object at 0x7f0aa1f79c90>,0.818359,0.0205078,0.0820312,0.0390625,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f0aa194d0d0>,True,626.0836038925759,,,,False
/mount/local5/chenxi/puncta-detection/data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C ESCRT1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0712891,161.27112713675206,<puncta_detect_util.Puncta object at 0x7f0b6fe6ea10>,0.826172,0.215332,0.0703125,0.0712891,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f0b6fd8a4d0>,True,4041.616733903129,,,,True
/mount/local5/chenxi/puncta-detection/data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C ESCRT1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0742188,153.78633308669396,<puncta_detect_util.Puncta object at 0x7f0b6fe6e610>,0.826172,0.215332,0.0742188,0.0732422,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f0aa1b76fd0>,True,3753.488224938682,,,,True
/mount/local5/chenxi/puncta-detection/data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C ESCRT1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.109375,117.71649680409382,<puncta_detect_util.Puncta object at 0x7f0aa205aad0>,0.828125,0.672852,0.109375,0.103516,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f0b6fd1eb90>,True,1741.2578654276367,0.0,1.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C ESCRT1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.111328,121.62287047780319,<puncta_detect_util.Puncta object at 0x7f0c2dd31c50>,0.829102,0.672852,0.111328,0.103516,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f0b6fd1e1d0>,True,1712.4184307758096,0.0,1.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C ESCRT1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0693359,69.38801773444357,<puncta_detect_util.Puncta object at 0x7f0b6fd1e150>,0.992676,0.740723,0.0146484,0.0693359,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f0b6fd1eb10>,True,4200.431171456015,,,,False
