folder,file name,image size,adjacent,initial frame,equatorial frame,equatorial size,value 0 ch0,puncta 0 ch0,x 0,y 0,w 0,h 0,quality ch0,num frame,new punctate ch0,new punctate ch1,puncta 0 ch1,quality ch1,value 0 ch1,colocalization ch0 ch1,colocalization weight ch0 ch1,new colocalization ch0 ch1,square quality
/mount/local5/chenxi/puncta-detection/data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0507812,123.85865191146877,<puncta_detect_util.Puncta object at 0x7f0aa1f7e390>,0.00585938,0.123047,0.0117188,0.0507812,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f0aa1608b10>,True,186.02349697442924,,,,False
/mount/local5/chenxi/puncta-detection/data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0498047,125.86332417582435,<puncta_detect_util.Puncta object at 0x7f0aa1f7e290>,0.00634766,0.122559,0.0126953,0.0498047,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f0aa1608490>,True,175.24358548428336,,,,False
/mount/local5/chenxi/puncta-detection/data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0800781,15659.307441152181,<puncta_detect_util.Puncta object at 0x7f0aa1f7e1d0>,0.00830078,0.561523,0.0166016,0.0800781,True,1,True,False,<puncta_detect_util.Puncta object at 0x7f0aa1608690>,True,65.5951640804301,0.0,1.0,0.0,False
/mount/local5/chenxi/puncta-detection/data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0859375,15665.665195913865,<puncta_detect_util.Puncta object at 0x7f0aa1f7e450>,0.00830078,0.5625,0.0166016,0.0859375,True,1,True,False,<puncta_detect_util.Puncta object at 0x7f0aa1608f50>,True,71.72824339163844,0.0,1.0,0.0,False
/mount/local5/chenxi/puncta-detection/data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0761719,24768.42363557801,<puncta_detect_util.Puncta object at 0x7f0aa1f37d50>,0.0253906,0.797852,0.0507812,0.0761719,True,1,True,False,<puncta_detect_util.Puncta object at 0x7f0aa16081d0>,True,167.924196768588,0.0,2.0,0.0,False
/mount/local5/chenxi/puncta-detection/data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.078125,24531.225195492385,<puncta_detect_util.Puncta object at 0x7f0aa1f7e250>,0.0258789,0.796875,0.0517578,0.078125,True,1,True,False,<puncta_detect_util.Puncta object at 0x7f0aa1c18ed0>,True,159.81262215250808,0.0,2.0,0.0,False
/mount/local5/chenxi/puncta-detection/data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0429688,24868.03183139535,<puncta_detect_util.Puncta object at 0x7f0aa1f37e90>,0.0507812,0.746094,0.0429688,0.0410156,True,1,True,False,<puncta_detect_util.Puncta object at 0x7f0aa1c184d0>,True,99.97928157372553,0.0,2.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0439453,24878.69817678774,<puncta_detect_util.Puncta object at 0x7f0aa1f7e950>,0.0512695,0.74707,0.0439453,0.0410156,True,1,True,False,<puncta_detect_util.Puncta object at 0x7f0aa2071090>,True,98.93905017955785,0.0,2.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.105469,-59.632574643970656,<puncta_detect_util.Puncta object at 0x7f0aa1f7eed0>,0.0556641,0.984375,0.105469,0.03125,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f0aa1608390>,True,32.90210163140773,,,,False
/mount/local5/chenxi/puncta-detection/data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.112305,-421.5514681683553,<puncta_detect_util.Puncta object at 0x7f0a975c7590>,0.0581055,0.984375,0.112305,0.03125,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f0aa1fae350>,True,44.10979039291351,,,,False
/mount/local5/chenxi/puncta-detection/data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.138672,24671.61800261609,<puncta_detect_util.Puncta object at 0x7f0aa1f37cd0>,0.0703125,0.208008,0.128906,0.138672,True,1,True,False,<puncta_detect_util.Puncta object at 0x7f0aa20712d0>,True,76.36361147899652,0.0,1.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/01-11-2022/30_DOPS 69.5_ DOPC 0.5 _Atto/200nM ALG2 A78C/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.137695,15566.341119061148,<puncta_detect_util.Puncta object at 0x7f0aa1f7eb90>,0.0703125,0.206543,0.125,0.137695,True,1,True,False,<puncta_detect_util.Puncta object at 0x7f0aa2071cd0>,True,72.98572142645025,0.0,1.0,0.0,True
