folder,file name,image size,adjacent,initial frame,equatorial frame,equatorial size,value 0 ch0,puncta 0 ch0,x 0,y 0,w 0,h 0,quality ch0,num frame,new punctate ch0,new punctate ch1,puncta 0 ch1,quality ch1,value 0 ch1,colocalization ch0 ch1,colocalization weight ch0 ch1,new colocalization ch0 ch1,square quality
/mount/local5/chenxi/puncta-detection/data/01-11-2022/10_DOPS 89.5_DOPC 0.5_Atto/200nM ALG2/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0849609,79.42298973273455,<puncta_detect_util.Puncta object at 0x7f1083f73d50>,0.444824,0.565918,0.0849609,0.0810547,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f10371ac790>,True,39.30470760126036,,,,True
/mount/local5/chenxi/puncta-detection/data/01-11-2022/10_DOPS 89.5_DOPC 0.5_Atto/200nM ALG2/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0849609,79.32383665567386,<puncta_detect_util.Puncta object at 0x7f10371acd50>,0.444824,0.565918,0.0849609,0.0830078,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f10371ac3d0>,True,36.24188805923768,,,,True
/mount/local5/chenxi/puncta-detection/data/01-11-2022/10_DOPS 89.5_DOPC 0.5_Atto/200nM ALG2/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0527344,26.09152621722842,<puncta_detect_util.Puncta object at 0x7f10371ac7d0>,0.459961,0.988281,0.0527344,0.0214844,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f10371ac210>,True,123.51426405813163,,,,False
/mount/local5/chenxi/puncta-detection/data/01-11-2022/10_DOPS 89.5_DOPC 0.5_Atto/200nM ALG2/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0527344,70.10618002999354,<puncta_detect_util.Puncta object at 0x7f10371ac810>,0.459961,0.989258,0.0527344,0.0214844,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f10371acbd0>,True,131.28661348622745,,,,False
/mount/local5/chenxi/puncta-detection/data/01-11-2022/10_DOPS 89.5_DOPC 0.5_Atto/200nM ALG2/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0742188,7386.3360458618445,<puncta_detect_util.Puncta object at 0x7f10371acc90>,0.582031,0.392578,0.0722656,0.0742188,True,1,1.0,0.0,<puncta_detect_util.Puncta object at 0x7f10371ac250>,True,97.29660302933735,0.0,1.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/01-11-2022/10_DOPS 89.5_DOPC 0.5_Atto/200nM ALG2/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0732422,7388.388218687811,<puncta_detect_util.Puncta object at 0x7f10371ac990>,0.582031,0.393066,0.0722656,0.0732422,True,1,1.0,0.0,<puncta_detect_util.Puncta object at 0x7f10371accd0>,True,94.51646295537921,0.0,1.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/01-11-2022/10_DOPS 89.5_DOPC 0.5_Atto/200nM ALG2/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0410156,86.47003057126722,<puncta_detect_util.Puncta object at 0x7f103720ee10>,0.0664062,0.364746,0.0410156,0.0400391,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f103720e750>,True,91.27303523035198,,,,True
/mount/local5/chenxi/puncta-detection/data/01-11-2022/10_DOPS 89.5_DOPC 0.5_Atto/200nM ALG2/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0419922,84.82250111625399,<puncta_detect_util.Puncta object at 0x7f1083f813d0>,0.0668945,0.365234,0.0419922,0.0410156,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f10371a71d0>,True,92.2463829569183,,,,True
/mount/local5/chenxi/puncta-detection/data/01-11-2022/10_DOPS 89.5_DOPC 0.5_Atto/200nM ALG2/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0761719,59.563477633524144,<puncta_detect_util.Puncta object at 0x7f108c0079d0>,0.0737305,0.452148,0.0751953,0.0761719,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f10371a7490>,True,56.041456282956005,,,,True
/mount/local5/chenxi/puncta-detection/data/01-11-2022/10_DOPS 89.5_DOPC 0.5_Atto/200nM ALG2/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0751953,79.75528845229701,<puncta_detect_util.Puncta object at 0x7f103720e690>,0.0737305,0.452637,0.0751953,0.0732422,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f10371a7b50>,True,71.16125362760249,,,,True
