folder,file name,image size,adjacent,initial frame,equatorial frame,equatorial size,value 0 ch0,puncta 0 ch0,x 0,y 0,w 0,h 0,quality ch0,num frame,new punctate ch0,new punctate ch1,puncta 0 ch1,quality ch1,value 0 ch1,colocalization ch0 ch1,colocalization weight ch0 ch1,new colocalization ch0 ch1,square quality
/mount/local5/chenxi/puncta-detection/data/02-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM dark ALG2_200 nM Atto 488 ESCRT-II/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0546875,601.3683671962362,<puncta_detect_util.Puncta object at 0x7f7556161e50>,0.0693359,0.341309,0.0546875,0.0537109,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f755600c1d0>,True,46.84539663497162,,,,True
/mount/local5/chenxi/puncta-detection/data/02-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM dark ALG2_200 nM Atto 488 ESCRT-II/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0605469,655.6784665961309,<puncta_detect_util.Puncta object at 0x7f7555fe81d0>,0.723633,0.388184,0.0605469,0.0595703,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f754df91650>,True,39.33881939872754,,,,True
/mount/local5/chenxi/puncta-detection/data/02-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM dark ALG2_200 nM Atto 488 ESCRT-II/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0683594,636.6376403005493,<puncta_detect_util.Puncta object at 0x7f75091f28d0>,0.759766,0.135742,0.0683594,0.0683594,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75094e3550>,True,52.82127281647081,,,,True
/mount/local5/chenxi/puncta-detection/data/02-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM dark ALG2_200 nM Atto 488 ESCRT-II/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0615234,642.2456373830601,<puncta_detect_util.Puncta object at 0x7f75092429d0>,0.0307617,0.760254,0.0595703,0.0615234,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75091f8250>,True,41.46393442622957,,,,True
/mount/local5/chenxi/puncta-detection/data/02-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM dark ALG2_200 nM Atto 488 ESCRT-II/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0859375,581.9872169096761,<puncta_detect_util.Puncta object at 0x7f7509242950>,0.0566406,0.190918,0.0859375,0.0830078,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75091f8e10>,True,12.303145957791912,,,,True
/mount/local5/chenxi/puncta-detection/data/02-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM dark ALG2_200 nM Atto 488 ESCRT-II/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0546875,738.541953234625,<puncta_detect_util.Puncta object at 0x7f7509242310>,0.245117,0.317383,0.0527344,0.0546875,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75091f80d0>,True,8.828532778236422,,,,True
/mount/local5/chenxi/puncta-detection/data/02-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM dark ALG2_200 nM Atto 488 ESCRT-II/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0546875,851.6080880590912,<puncta_detect_util.Puncta object at 0x7f7509242690>,0.804199,0.919922,0.0537109,0.0546875,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75091f8a50>,True,57.38418651259008,,,,True
/mount/local5/chenxi/puncta-detection/data/02-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM dark ALG2_200 nM Atto 488 ESCRT-II/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0507812,483.2013653483996,<puncta_detect_util.Puncta object at 0x7f7509242490>,0.979492,0.628906,0.0410156,0.0507812,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75091f8950>,True,15.536361205639423,,,,False
/mount/local5/chenxi/puncta-detection/data/02-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM dark ALG2_200 nM Atto 488 ESCRT-II/Captured 3.nd2-output,(series 1).tif,1024,False,0,0,0.0712891,644.4420409652625,<puncta_detect_util.Puncta object at 0x7f75091d5690>,0.0581055,0.814453,0.0712891,0.0703125,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75091f89d0>,True,1.3340325758208564,,,,True
/mount/local5/chenxi/puncta-detection/data/02-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM dark ALG2_200 nM Atto 488 ESCRT-II/Captured 3.nd2-output,(series 1).tif,1024,False,0,0,0.0585938,635.6062693421186,<puncta_detect_util.Puncta object at 0x7f75091f88d0>,0.214844,0.59375,0.0585938,0.0585938,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75091d5b90>,True,79.07952185359227,,,,True
