folder,file name,image size,adjacent,initial frame,equatorial frame,equatorial size,value 0 ch0,puncta 0 ch0,x 0,y 0,w 0,h 0,quality ch0,num frame,new punctate ch0,new punctate ch1,puncta 0 ch1,quality ch1,value 0 ch1,colocalization ch0 ch1,colocalization weight ch0 ch1,new colocalization ch0 ch1,square quality
/mount/local5/chenxi/puncta-detection/data/02-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM dark ALG2_50 nM Cy3 ESCRT-I_200 nM Atto 488 ESCRT-II/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0605469,14119.915828092242,<puncta_detect_util.Puncta object at 0x7f102e51e590>,0.220215,0.24707,0.0595703,0.0605469,True,1,True,True,<puncta_detect_util.Puncta object at 0x7f108c037590>,True,14210.845954381637,1.0,1.0,1.0,True
/mount/local5/chenxi/puncta-detection/data/02-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM dark ALG2_50 nM Cy3 ESCRT-I_200 nM Atto 488 ESCRT-II/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0576172,10790.234333172548,<puncta_detect_util.Puncta object at 0x7f10371acad0>,0.42041,0.583008,0.0576172,0.0566406,True,1,True,True,<puncta_detect_util.Puncta object at 0x7f1060ff4ed0>,True,16949.51306754089,1.0,1.0,1.0,True
/mount/local5/chenxi/puncta-detection/data/02-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM dark ALG2_50 nM Cy3 ESCRT-I_200 nM Atto 488 ESCRT-II/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0615234,756.2476418721944,<puncta_detect_util.Puncta object at 0x7f102e65bc10>,0.48584,0.414551,0.0615234,0.0595703,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f10370fee90>,True,2961.3964815536838,,,,True
/mount/local5/chenxi/puncta-detection/data/02-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM dark ALG2_50 nM Cy3 ESCRT-I_200 nM Atto 488 ESCRT-II/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0830078,455.8303310533015,<puncta_detect_util.Puncta object at 0x7f1037067750>,0.505371,0.883789,0.0830078,0.0820312,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f103719ead0>,True,714.2680065389673,,,,True
/mount/local5/chenxi/puncta-detection/data/02-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM dark ALG2_50 nM Cy3 ESCRT-I_200 nM Atto 488 ESCRT-II/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0439453,13483.828756147963,<puncta_detect_util.Puncta object at 0x7f10370f5bd0>,0.556641,0.387207,0.0429688,0.0439453,True,1,True,True,<puncta_detect_util.Puncta object at 0x7f10371ac9d0>,True,24616.50852483321,1.0,1.0,1.0,True
/mount/local5/chenxi/puncta-detection/data/02-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM dark ALG2_50 nM Cy3 ESCRT-I_200 nM Atto 488 ESCRT-II/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0683594,12001.21580388466,<puncta_detect_util.Puncta object at 0x7f108c1c0a90>,0.694824,0.461914,0.0654297,0.0683594,True,1,True,True,<puncta_detect_util.Puncta object at 0x7f1037090750>,True,15518.614080275913,1.0,1.0,1.0,True
/mount/local5/chenxi/puncta-detection/data/02-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM dark ALG2_50 nM Cy3 ESCRT-I_200 nM Atto 488 ESCRT-II/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.078125,881.5289395625564,<puncta_detect_util.Puncta object at 0x7f1036ffc050>,0.814941,0.726562,0.0771484,0.078125,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f10371b9210>,True,5848.88141620689,0.0,1.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/02-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM dark ALG2_50 nM Cy3 ESCRT-I_200 nM Atto 488 ESCRT-II/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0625,12432.1863539461,<puncta_detect_util.Puncta object at 0x7f10371acf50>,0.832031,0.18457,0.0625,0.0625,True,1,True,True,<puncta_detect_util.Puncta object at 0x7f10370673d0>,True,21238.411940941478,1.0,1.0,1.0,True
/mount/local5/chenxi/puncta-detection/data/02-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM dark ALG2_50 nM Cy3 ESCRT-I_200 nM Atto 488 ESCRT-II/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0732422,19467.575934608652,<puncta_detect_util.Puncta object at 0x7f10370b3410>,0.152832,0.279785,0.0732422,0.0732422,True,1,True,True,<puncta_detect_util.Puncta object at 0x7f10370b37d0>,True,22044.361882568475,1.0,3.0,1.0,True
/mount/local5/chenxi/puncta-detection/data/02-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM dark ALG2_50 nM Cy3 ESCRT-I_200 nM Atto 488 ESCRT-II/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0664062,13442.20832282511,<puncta_detect_util.Puncta object at 0x7f10370fe610>,0.277344,0.654785,0.0664062,0.0654297,True,1,True,True,<puncta_detect_util.Puncta object at 0x7f10370b3110>,True,22458.27444751065,0.75,4.0,0.75,True
/mount/local5/chenxi/puncta-detection/data/02-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM dark ALG2_50 nM Cy3 ESCRT-I_200 nM Atto 488 ESCRT-II/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0664062,14655.374440717671,<puncta_detect_util.Puncta object at 0x7f0fc9629150>,0.318359,0.172852,0.0664062,0.0664062,True,1,True,True,<puncta_detect_util.Puncta object at 0x7f10370b3e50>,True,22245.897402534883,1.0,2.0,1.0,True
/mount/local5/chenxi/puncta-detection/data/02-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM dark ALG2_50 nM Cy3 ESCRT-I_200 nM Atto 488 ESCRT-II/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0380859,11329.42566502463,<puncta_detect_util.Puncta object at 0x7f1036ffe610>,0.393066,0.421387,0.0380859,0.0380859,True,1,True,True,<puncta_detect_util.Puncta object at 0x7f10370b3a90>,True,17331.40204845905,1.0,3.0,1.0,True
