folder,file name,image size,adjacent,initial frame,equatorial frame,equatorial size,value 0 ch0,puncta 0 ch0,x 0,y 0,w 0,h 0,quality ch0,num frame,new punctate ch0,new punctate ch1,puncta 0 ch1,quality ch1,value 0 ch1,colocalization ch0 ch1,colocalization weight ch0 ch1,new colocalization ch0 ch1,square quality
/mount/local5/chenxi/puncta-detection/data/02-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM dark ALG2_50 nM Cy3 ESCRT-I_400 nM Atto 488 CHMP6/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0849609,279.20854288710734,<puncta_detect_util.Puncta object at 0x7f103704b7d0>,0.42627,0.137695,0.0849609,0.0839844,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f1037090fd0>,True,16583.27538073254,0.0,3.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/02-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM dark ALG2_50 nM Cy3 ESCRT-I_400 nM Atto 488 CHMP6/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0722656,283.07925636970003,<puncta_detect_util.Puncta object at 0x7f10370b3590>,0.49707,0.678711,0.0722656,0.0722656,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f10370b3b50>,True,13576.282247110263,0.0,1.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/02-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM dark ALG2_50 nM Cy3 ESCRT-I_400 nM Atto 488 CHMP6/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0498047,641.9153588236959,<puncta_detect_util.Puncta object at 0x7f10370b3290>,0.506348,0.42627,0.0498047,0.0439453,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f102e56a2d0>,True,24223.942572647895,0.0,3.0,0.0,False
/mount/local5/chenxi/puncta-detection/data/02-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM dark ALG2_50 nM Cy3 ESCRT-I_400 nM Atto 488 CHMP6/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0644531,177.99581817012768,<puncta_detect_util.Puncta object at 0x7f1037090090>,0.59082,0.927246,0.0644531,0.0634766,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f10370fe350>,True,15937.254007597367,0.0,2.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/02-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM dark ALG2_50 nM Cy3 ESCRT-I_400 nM Atto 488 CHMP6/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0517578,408.6159003531611,<puncta_detect_util.Puncta object at 0x7f10370b3c90>,0.612793,0.814453,0.0517578,0.0507812,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f10370b3250>,True,18553.61473249839,0.0,4.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/02-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM dark ALG2_50 nM Cy3 ESCRT-I_400 nM Atto 488 CHMP6/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0644531,241.12465985014296,<puncta_detect_util.Puncta object at 0x7f1037090750>,0.674805,0.0380859,0.0644531,0.0644531,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f10370b30d0>,True,16807.631730768007,0.0,2.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/02-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM dark ALG2_50 nM Cy3 ESCRT-I_400 nM Atto 488 CHMP6/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0546875,336.5118557942151,<puncta_detect_util.Puncta object at 0x7f103719e9d0>,0.975586,0.167969,0.0488281,0.0546875,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f1037090210>,True,18654.86475079596,0.0,2.0,0.0,False
/mount/local5/chenxi/puncta-detection/data/02-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM dark ALG2_50 nM Cy3 ESCRT-I_400 nM Atto 488 CHMP6/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0839844,136.32400501079792,<puncta_detect_util.Puncta object at 0x7f102e633550>,0.24707,0.899414,0.0839844,0.0820312,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f1037067410>,True,118.77095313642121,,,,True
/mount/local5/chenxi/puncta-detection/data/02-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM dark ALG2_50 nM Cy3 ESCRT-I_400 nM Atto 488 CHMP6/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0820312,230.05370685010985,<puncta_detect_util.Puncta object at 0x7f102e633a50>,0.304688,0.269531,0.0820312,0.0761719,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f1037096750>,True,14296.493508355177,0.0,1.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/02-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM dark ALG2_50 nM Cy3 ESCRT-I_400 nM Atto 488 CHMP6/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0410156,460.63682130080315,<puncta_detect_util.Puncta object at 0x7f102e633e10>,0.456055,0.325195,0.0410156,0.0410156,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f1037067ad0>,True,24623.141350119826,0.0,1.0,0.0,True
