folder,file name,image size,adjacent,initial frame,equatorial frame,equatorial size,value 0 ch0,puncta 0 ch0,x 0,y 0,w 0,h 0,quality ch0,num frame,new punctate ch0,new punctate ch1,puncta 0 ch1,quality ch1,value 0 ch1,colocalization ch0 ch1,colocalization weight ch0 ch1,new colocalization ch0 ch1,square quality,value 1 ch0,value 2 ch0,value 3 ch0,value 4 ch0,value 5 ch0,value 6 ch0,value 7 ch0,value 8 ch0,value 9 ch0,value 10 ch0,value 11 ch0,value 12 ch0,value 13 ch0,value 14 ch0,value 15 ch0,value 16 ch0,value 17 ch0,value 18 ch0,value 19 ch0,value 20 ch0,value 21 ch0,value 22 ch0,value 23 ch0,value 24 ch0,value 25 ch0,value 26 ch0,value 27 ch0,value 28 ch0,value 29 ch0,value 30 ch0,value 31 ch0,value 32 ch0,value 33 ch0,value 34 ch0,value 35 ch0,value 36 ch0,puncta 1 ch0,puncta 2 ch0,puncta 3 ch0,puncta 4 ch0,puncta 5 ch0,puncta 6 ch0,puncta 7 ch0,puncta 8 ch0,puncta 9 ch0,puncta 10 ch0,puncta 11 ch0,puncta 12 ch0,puncta 13 ch0,puncta 14 ch0,puncta 15 ch0,puncta 16 ch0,puncta 17 ch0,puncta 18 ch0,puncta 19 ch0,puncta 20 ch0,puncta 21 ch0,puncta 22 ch0,puncta 23 ch0,puncta 24 ch0,puncta 25 ch0,puncta 26 ch0,puncta 27 ch0,puncta 28 ch0,puncta 29 ch0,puncta 30 ch0,puncta 31 ch0,puncta 32 ch0,puncta 33 ch0,puncta 34 ch0,puncta 35 ch0,puncta 36 ch0,x 1,x 2,x 3,x 4,x 5,x 6,x 7,x 8,x 9,x 10,x 11,x 12,x 13,x 14,x 15,x 16,x 17,x 18,x 19,x 20,x 21,x 22,x 23,x 24,x 25,x 26,x 27,x 28,x 29,x 30,x 31,x 32,x 33,x 34,x 35,x 36,y 1,y 2,y 3,y 4,y 5,y 6,y 7,y 8,y 9,y 10,y 11,y 12,y 13,y 14,y 15,y 16,y 17,y 18,y 19,y 20,y 21,y 22,y 23,y 24,y 25,y 26,y 27,y 28,y 29,y 30,y 31,y 32,y 33,y 34,y 35,y 36,w 1,w 2,w 3,w 4,w 5,w 6,w 7,w 8,w 9,w 10,w 11,w 12,w 13,w 14,w 15,w 16,w 17,w 18,w 19,w 20,w 21,w 22,w 23,w 24,w 25,w 26,w 27,w 28,w 29,w 30,w 31,w 32,w 33,w 34,w 35,w 36,h 1,h 2,h 3,h 4,h 5,h 6,h 7,h 8,h 9,h 10,h 11,h 12,h 13,h 14,h 15,h 16,h 17,h 18,h 19,h 20,h 21,h 22,h 23,h 24,h 25,h 26,h 27,h 28,h 29,h 30,h 31,h 32,h 33,h 34,h 35,h 36,puncta 1 ch1,puncta 10 ch1,puncta 11 ch1,puncta 12 ch1,puncta 13 ch1,puncta 14 ch1,puncta 15 ch1,puncta 16 ch1,puncta 17 ch1,puncta 18 ch1,puncta 19 ch1,puncta 2 ch1,puncta 20 ch1,puncta 21 ch1,puncta 22 ch1,puncta 23 ch1,puncta 24 ch1,puncta 25 ch1,puncta 26 ch1,puncta 27 ch1,puncta 28 ch1,puncta 29 ch1,puncta 3 ch1,puncta 30 ch1,puncta 31 ch1,puncta 32 ch1,puncta 33 ch1,puncta 34 ch1,puncta 35 ch1,puncta 36 ch1,puncta 4 ch1,puncta 5 ch1,puncta 6 ch1,puncta 7 ch1,puncta 8 ch1,puncta 9 ch1,value 1 ch1,value 10 ch1,value 11 ch1,value 12 ch1,value 13 ch1,value 14 ch1,value 15 ch1,value 16 ch1,value 17 ch1,value 18 ch1,value 19 ch1,value 2 ch1,value 20 ch1,value 21 ch1,value 22 ch1,value 23 ch1,value 24 ch1,value 25 ch1,value 26 ch1,value 27 ch1,value 28 ch1,value 29 ch1,value 3 ch1,value 30 ch1,value 31 ch1,value 32 ch1,value 33 ch1,value 34 ch1,value 35 ch1,value 36 ch1,value 4 ch1,value 5 ch1,value 6 ch1,value 7 ch1,value 8 ch1,value 9 ch1
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/200 nM Atto 488 ALG2_50 nM ESCRT-I/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0595703,17486.758454924668,<puncta_detect_util.Puncta object at 0x7f7509135710>,0.286621,0.164062,0.0595703,0.0585938,True,1,1.0,1.0,<puncta_detect_util.Puncta object at 0x7f75092422d0>,True,18834.907856829086,0.5,4.0,0.5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/200 nM Atto 488 ALG2_50 nM ESCRT-I/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0605469,6332.37769016555,<puncta_detect_util.Puncta object at 0x7f750924c150>,0.457031,0.544922,0.0605469,0.0605469,True,1,1.0,1.0,<puncta_detect_util.Puncta object at 0x7f7509135650>,True,13538.774345106809,0.3333333333333333,3.0,0.3333333333333333,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/200 nM Atto 488 ALG2_50 nM ESCRT-I/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0507812,14591.362939607083,<puncta_detect_util.Puncta object at 0x7f75091ff090>,0.601562,0.908203,0.0507812,0.0507812,True,1,1.0,1.0,<puncta_detect_util.Puncta object at 0x7f7509242810>,True,19129.569300994266,1.0,3.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/200 nM Atto 488 ALG2_50 nM ESCRT-I/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0410156,8730.710699445983,<puncta_detect_util.Puncta object at 0x7f75092663d0>,0.708008,0.0883789,0.0410156,0.0400391,True,1,1.0,1.0,<puncta_detect_util.Puncta object at 0x7f75091356d0>,True,17820.065653673275,0.6,5.0,0.6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/200 nM Atto 488 ALG2_50 nM ESCRT-I/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0556641,18060.04664889566,<puncta_detect_util.Puncta object at 0x7f7509266510>,0.837891,0.353027,0.0546875,0.0556641,True,1,1.0,1.0,<puncta_detect_util.Puncta object at 0x7f7509135510>,True,22887.16573142415,1.0,3.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/200 nM Atto 488 ALG2_50 nM ESCRT-I/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0498047,3809.9667842411345,<puncta_detect_util.Puncta object at 0x7f7509242410>,0.0512695,0.578125,0.0498047,0.0488281,True,1,0.0,1.0,<puncta_detect_util.Puncta object at 0x7f75561d3c10>,True,12298.7792321415,0.0,5.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/200 nM Atto 488 ALG2_50 nM ESCRT-I/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0507812,14595.24870104962,<puncta_detect_util.Puncta object at 0x7f749363b150>,0.431641,0.913574,0.0507812,0.0498047,True,1,1.0,1.0,<puncta_detect_util.Puncta object at 0x7f75091cc190>,True,23373.908224382612,1.0,3.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/200 nM Atto 488 ALG2_50 nM ESCRT-I/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0693359,15270.63273169483,<puncta_detect_util.Puncta object at 0x7f7509242310>,0.518555,0.262207,0.0683594,0.0693359,True,1,1.0,1.0,<puncta_detect_util.Puncta object at 0x7f75091c5f50>,True,19918.69246292551,1.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/200 nM Atto 488 ALG2_50 nM ESCRT-I/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0449219,21413.154325342657,<puncta_detect_util.Puncta object at 0x7f75092a8450>,0.610352,0.408691,0.0449219,0.0439453,True,1,1.0,1.0,<puncta_detect_util.Puncta object at 0x7f75091e6b90>,True,28079.81231081626,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-16-2022/69.5_ DOPC_30_ DOPS_0.5_ Att0 647/200 nM Atto 488 ALG2_50 nM ESCRT-I/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0556641,21472.630237602287,<puncta_detect_util.Puncta object at 0x7f7509187cd0>,0.964844,0.663574,0.0546875,0.0556641,True,1,1.0,1.0,<puncta_detect_util.Puncta object at 0x7f75091e69d0>,True,19532.538181034215,0.75,4.0,0.75,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
