folder,file name,image size,adjacent,initial frame,equatorial frame,equatorial size,value 0 ch0,puncta 0 ch0,x 0,y 0,w 0,h 0,quality ch0,num frame,new punctate ch0,new punctate ch1,puncta 0 ch1,quality ch1,value 0 ch1,colocalization ch0 ch1,colocalization weight ch0 ch1,new colocalization ch0 ch1,square quality
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ESCRT-II/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0498047,868.5879141899964,<puncta_detect_util.Puncta object at 0x7f750918c4d0>,0.780762,0.709961,0.0498047,0.046875,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f755601a910>,True,386.6233628965065,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ESCRT-II/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0605469,809.1260246248153,<puncta_detect_util.Puncta object at 0x7f750911fb10>,0.928711,0.646484,0.0605469,0.0585938,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75091ff050>,True,147.28994523548727,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ESCRT-II/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0507812,767.0294291462687,<puncta_detect_util.Puncta object at 0x7f7509187450>,0.320312,0.44043,0.0507812,0.0507812,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f750924ccd0>,True,199.02340905781284,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ESCRT-II/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0673828,706.5727887815792,<puncta_detect_util.Puncta object at 0x7f75091225d0>,0.407715,0.644043,0.0673828,0.0673828,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f750924c950>,True,166.8149805161952,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ESCRT-II/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0625,812.9437374245472,<puncta_detect_util.Puncta object at 0x7f75bbbf6950>,0.655273,0.90625,0.0605469,0.0625,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f750918c550>,True,159.21109905281355,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ESCRT-II/Captured 3.nd2-output,(series 1).tif,1024,False,0,0,0.0507812,759.5628351204646,<puncta_detect_util.Puncta object at 0x7f75090da9d0>,0.253906,0.759766,0.0507812,0.0507812,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f750924c290>,True,92.1442193533494,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ESCRT-II/Captured 3.nd2-output,(series 1).tif,1024,False,0,0,0.0654297,859.8001232873253,<puncta_detect_util.Puncta object at 0x7f750924c1d0>,0.510254,0.460938,0.0654297,0.0644531,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75091cce90>,True,127.51999840867757,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ESCRT-II/Captured 16.nd2-output,(series 1).tif,1024,False,0,0,0.0429688,1100.6481101182217,<puncta_detect_util.Puncta object at 0x7f75565b1610>,0.84668,0.794922,0.0410156,0.0429688,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75091dc7d0>,True,226.377547326505,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ESCRT-II/Captured 9.nd2-output,(series 1).tif,1024,False,0,0,0.0429688,899.1575631346,<puncta_detect_util.Puncta object at 0x7f7509121a90>,0.0429688,0.345215,0.0429688,0.0419922,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75091da250>,True,219.54636785162302,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ESCRT-II/Captured 9.nd2-output,(series 1).tif,1024,False,0,0,0.0644531,722.3464035087718,<puncta_detect_util.Puncta object at 0x7f750924c5d0>,0.0576172,0.300293,0.0644531,0.0634766,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75091daa10>,True,144.55388816430332,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ESCRT-II/Captured 9.nd2-output,(series 1).tif,1024,False,0,0,0.0605469,919.1201510584438,<puncta_detect_util.Puncta object at 0x7f75091ffd90>,0.742676,0.77832,0.0595703,0.0605469,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75091dc0d0>,True,171.51011948337145,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ESCRT-II/Captured 14.nd2-output,(series 1).tif,1024,False,0,0,0.0449219,701.9487491219538,<puncta_detect_util.Puncta object at 0x7f75090dab90>,0.283203,0.398926,0.0449219,0.0439453,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75091df710>,True,221.61439558971642,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ESCRT-II/Captured 14.nd2-output,(series 1).tif,1024,False,0,0,0.0742188,659.8540521494015,<puncta_detect_util.Puncta object at 0x7f750924c990>,0.416016,0.118164,0.0742188,0.0722656,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f750924cb10>,True,143.59810483438923,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ESCRT-II/Captured 12.nd2-output,(series 1).tif,1024,False,0,0,0.0585938,786.2763972602738,<puncta_detect_util.Puncta object at 0x7f7509185d10>,0.441406,0.240723,0.0585938,0.0556641,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75091cc590>,True,132.04064949950362,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ESCRT-II/Captured 12.nd2-output,(series 1).tif,1024,False,0,0,0.0488281,787.8763126193039,<puncta_detect_util.Puncta object at 0x7f7509185290>,0.52832,0.916992,0.0488281,0.0488281,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75091cc5d0>,True,109.03297608214689,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ESCRT-II/Captured 12.nd2-output,(series 1).tif,1024,False,0,0,0.0429688,710.1238761006362,<puncta_detect_util.Puncta object at 0x7f75091df650>,0.785156,0.0161133,0.0429688,0.0322266,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f7509185e10>,True,400.09251739048705,,,,False
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ESCRT-II/Captured 12.nd2-output,(series 1).tif,1024,False,0,0,0.0595703,826.910415133993,<puncta_detect_util.Puncta object at 0x7f7509185910>,0.882812,0.633301,0.0585938,0.0595703,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75091cc410>,True,193.78607648457228,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ESCRT-II/Captured 21.nd2-output,(series 1).tif,1024,False,0,0,0.0429688,663.7147353742484,<puncta_detect_util.Puncta object at 0x7f750911f090>,0.388672,0.712891,0.0429688,0.0429688,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75091cc490>,True,281.3445117956444,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ESCRT-II/Captured 21.nd2-output,(series 1).tif,1024,False,0,0,0.046875,779.5990888996712,<puncta_detect_util.Puncta object at 0x7f75091cc290>,0.607422,0.824219,0.046875,0.046875,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f7509182d90>,True,123.67999424477011,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ESCRT-II/Captured 21.nd2-output,(series 1).tif,1024,False,0,0,0.0839844,634.3856275675698,<puncta_detect_util.Puncta object at 0x7f75091cc390>,0.696289,0.128906,0.0839844,0.0800781,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75091824d0>,True,80.33102029207566,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ESCRT-II/Captured 21.nd2-output,(series 1).tif,1024,False,0,0,0.0546875,826.2798546227782,<puncta_detect_util.Puncta object at 0x7f75091ccc90>,0.699219,0.607422,0.0546875,0.0546875,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f750924c4d0>,True,210.08389552611743,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ESCRT-II/Captured 17.nd2-output,(series 1).tif,1024,False,0,0,0.0517578,823.6692937202115,<puncta_detect_util.Puncta object at 0x7f75091ff8d0>,0.272949,0.343262,0.0517578,0.0517578,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f7509182510>,True,231.0285165102082,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ESCRT-II/Captured 17.nd2-output,(series 1).tif,1024,False,0,0,0.0527344,800.6138873756558,<puncta_detect_util.Puncta object at 0x7f75091ffe10>,0.530273,0.425781,0.0527344,0.0507812,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f7509187fd0>,True,341.8137254901958,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ESCRT-II/Captured 17.nd2-output,(series 1).tif,1024,False,0,0,0.0556641,766.7973870616934,<puncta_detect_util.Puncta object at 0x7f75091fff50>,0.534668,0.334961,0.0556641,0.0546875,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f7509121c10>,True,132.47157630183756,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ESCRT-II/Captured 17.nd2-output,(series 1).tif,1024,False,0,0,0.0371094,1047.27719691312,<puncta_detect_util.Puncta object at 0x7f75091ff910>,0.710938,0.788086,0.0371094,0.0371094,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f7509187510>,True,213.64429339398293,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ESCRT-II/Captured 17.nd2-output,(series 1).tif,1024,False,0,0,0.0371094,868.4135034802785,<puncta_detect_util.Puncta object at 0x7f7509182790>,0.808594,0.430664,0.0351562,0.0371094,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75091c5390>,True,277.6459986772488,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ESCRT-II/Captured 13.nd2-output,(series 1).tif,1024,False,0,0,0.0595703,626.7107336991439,<puncta_detect_util.Puncta object at 0x7f7509112590>,0.0522461,0.375,0.0595703,0.0585938,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f7509112210>,True,148.55476472057353,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ESCRT-II/Captured 13.nd2-output,(series 1).tif,1024,False,0,0,0.0556641,585.7967967745162,<puncta_detect_util.Puncta object at 0x7f7509112e10>,0.259277,0.724609,0.0556641,0.0546875,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f7509187810>,True,77.16752142049245,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ESCRT-II/Captured 13.nd2-output,(series 1).tif,1024,False,0,0,0.0605469,780.316466757643,<puncta_detect_util.Puncta object at 0x7f7509112a90>,0.949219,0.541992,0.0585938,0.0605469,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f750910ec50>,True,157.58372598767664,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ESCRT-II/Captured 13.nd2-output,(series 1).tif,1024,False,0,0,0.0371094,735.2014604302349,<puncta_detect_util.Puncta object at 0x7f75091df550>,0.992188,0.848633,0.015625,0.0371094,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f750910ec10>,True,169.29490392648313,,,,False
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ESCRT-II/Captured 18.nd2-output,(series 1).tif,1024,False,0,0,0.0449219,908.4902631578948,<puncta_detect_util.Puncta object at 0x7f7509025050>,0.575195,0.663086,0.0449219,0.0449219,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f7509025450>,True,207.84929386728527,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Atto 488 ESCRT-II/Captured 18.nd2-output,(series 1).tif,1024,False,0,0,0.0273438,952.3315322171484,<puncta_detect_util.Puncta object at 0x7f75090250d0>,0.585938,0.738281,0.0273438,0.0273438,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75091df350>,True,226.69531050344995,,,,True
