folder,file name,image size,adjacent,initial frame,equatorial frame,equatorial size,value 0 ch0,puncta 0 ch0,x 0,y 0,w 0,h 0,quality ch0,num frame,new punctate ch0,new punctate ch1,puncta 0 ch1,quality ch1,value 0 ch1,colocalization ch0 ch1,colocalization weight ch0 ch1,new colocalization ch0 ch1,square quality
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_200 nM Atto 488 ESCRT-II/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0400391,748.4164986931487,<puncta_detect_util.Puncta object at 0x7f75091daad0>,0.424316,0.527344,0.0400391,0.0390625,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f75091ff610>,True,139.23332532123095,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_200 nM Atto 488 ESCRT-II/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0488281,865.618656667712,<puncta_detect_util.Puncta object at 0x7f74e6e6e710>,0.614258,0.337891,0.0488281,0.046875,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f75090e7910>,True,160.83497000832722,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_200 nM Atto 488 ESCRT-II/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0410156,750.9433820065942,<puncta_detect_util.Puncta object at 0x7f750924ca10>,0.229492,0.0898438,0.0410156,0.0410156,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f75090d1b10>,True,161.03116453339453,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_200 nM Atto 488 ESCRT-II/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0585938,789.0300751879704,<puncta_detect_util.Puncta object at 0x7f75090e7410>,0.748047,0.693848,0.0585938,0.0576172,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f75091c5e10>,True,120.40441495535742,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_200 nM Atto 488 ESCRT-II/Captured 3.nd2-output,(series 1).tif,1024,False,0,0,0.0517578,724.4593682441746,<puncta_detect_util.Puncta object at 0x7f75c4369e50>,0.328613,0.552734,0.0517578,0.0507812,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f75090d1990>,True,131.09167829489206,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_200 nM Atto 488 ESCRT-II/Captured 16.nd2-output,(series 1).tif,1024,False,0,0,0.0400391,791.860334655189,<puncta_detect_util.Puncta object at 0x7f7509122090>,0.210449,0.0825195,0.0400391,0.0400391,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f75091d1bd0>,True,146.61234699858642,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_200 nM Atto 488 ESCRT-II/Captured 16.nd2-output,(series 1).tif,1024,False,0,0,0.0595703,835.2781773315487,<puncta_detect_util.Puncta object at 0x7f750911fbd0>,0.271973,0.514648,0.0595703,0.0566406,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f75091d10d0>,True,300.80543585001806,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_200 nM Atto 488 ESCRT-II/Captured 16.nd2-output,(series 1).tif,1024,False,0,0,0.0332031,944.690961763521,<puncta_detect_util.Puncta object at 0x7f7509233890>,0.800781,0.827148,0.0332031,0.0332031,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f750911f7d0>,True,340.87766526820997,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_200 nM Atto 488 ESCRT-II/Captured 16.nd2-output,(series 1).tif,1024,False,0,0,0.0273438,708.8119946091647,<puncta_detect_util.Puncta object at 0x7f75090d7790>,0.928223,0.139648,0.0263672,0.0273438,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f75091856d0>,True,554.2187809692623,,,,True
/mount/local5/chenxi/puncta-detection/data/02-17-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_200 nM Atto 488 ESCRT-II/Captured 9.nd2-output,(series 1).tif,1024,False,0,0,0.0644531,684.4762599301848,<puncta_detect_util.Puncta object at 0x7f75091851d0>,0.515625,0.433594,0.0644531,0.0625,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f7509185fd0>,True,215.81135728971458,,,,True
