folder,file name,image size,adjacent,initial frame,equatorial frame,equatorial size,value 0 ch0,puncta 0 ch0,x 0,y 0,w 0,h 0,quality ch0,num frame,new punctate ch0,new punctate ch1,puncta 0 ch1,quality ch1,value 0 ch1,colocalization ch0 ch1,colocalization weight ch0 ch1,new colocalization ch0 ch1,square quality
/mount/local5/chenxi/puncta-detection/data/02-18-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_50 nM Cy3 ESCRT-I_200 nM Atto 488 ESCRT-II/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.128906,17137.0651266112,<puncta_detect_util.Puncta object at 0x7f7508fce990>,0.123047,0.335938,0.128906,0.121094,True,1,1.0,1.0,<puncta_detect_util.Puncta object at 0x7f7508fedd90>,True,12157.097289710155,1.0,2.0,1.0,True
/mount/local5/chenxi/puncta-detection/data/02-18-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_50 nM Cy3 ESCRT-I_200 nM Atto 488 ESCRT-II/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0566406,1058.1627874488267,<puncta_detect_util.Puncta object at 0x7f75096239d0>,0.14502,0.844727,0.0556641,0.0566406,True,1,1.0,1.0,<puncta_detect_util.Puncta object at 0x7f7508fed310>,True,8068.716580652803,1.0,2.0,1.0,True
/mount/local5/chenxi/puncta-detection/data/02-18-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_50 nM Cy3 ESCRT-I_200 nM Atto 488 ESCRT-II/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0742188,916.9220677878134,<puncta_detect_util.Puncta object at 0x7f74e6cfd210>,0.271484,0.356445,0.0742188,0.0742188,True,1,1.0,1.0,<puncta_detect_util.Puncta object at 0x7f7509182e50>,True,7780.40885977384,1.0,1.0,1.0,True
/mount/local5/chenxi/puncta-detection/data/02-18-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_50 nM Cy3 ESCRT-I_200 nM Atto 488 ESCRT-II/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0791016,10555.900644465197,<puncta_detect_util.Puncta object at 0x7f74e6e0fd90>,0.285645,0.166016,0.0791016,0.078125,True,1,1.0,1.0,<puncta_detect_util.Puncta object at 0x7f75090ff4d0>,True,17499.136895007006,1.0,2.0,1.0,True
/mount/local5/chenxi/puncta-detection/data/02-18-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_50 nM Cy3 ESCRT-I_200 nM Atto 488 ESCRT-II/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0800781,11689.78611025562,<puncta_detect_util.Puncta object at 0x7f7509182310>,0.614258,0.921387,0.0800781,0.0791016,True,1,1.0,1.0,<puncta_detect_util.Puncta object at 0x7f7508fd6b90>,True,28372.701829353442,1.0,1.0,1.0,True
/mount/local5/chenxi/puncta-detection/data/02-18-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_50 nM Cy3 ESCRT-I_200 nM Atto 488 ESCRT-II/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0859375,3362.3602452463347,<puncta_detect_util.Puncta object at 0x7f74e6e40e50>,0.695312,0.726562,0.0859375,0.0820312,True,1,1.0,1.0,<puncta_detect_util.Puncta object at 0x7f7508ff17d0>,True,21080.003860362584,1.0,1.0,1.0,True
/mount/local5/chenxi/puncta-detection/data/02-18-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_50 nM Cy3 ESCRT-I_200 nM Atto 488 ESCRT-II/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0654297,18689.916087839178,<puncta_detect_util.Puncta object at 0x7f7508fed8d0>,0.803223,0.406738,0.0654297,0.0634766,True,1,1.0,1.0,<puncta_detect_util.Puncta object at 0x7f74e6e16250>,True,25626.834683400626,1.0,2.0,1.0,True
/mount/local5/chenxi/puncta-detection/data/02-18-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_50 nM Cy3 ESCRT-I_200 nM Atto 488 ESCRT-II/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0800781,4159.145064743516,<puncta_detect_util.Puncta object at 0x7f7508fd0710>,0.0205078,0.918945,0.0410156,0.0800781,True,1,1.0,1.0,<puncta_detect_util.Puncta object at 0x7f7508ff18d0>,True,25222.575240168637,1.0,1.0,1.0,False
/mount/local5/chenxi/puncta-detection/data/02-18-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_50 nM Cy3 ESCRT-I_200 nM Atto 488 ESCRT-II/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0546875,725.2596659082151,<puncta_detect_util.Puncta object at 0x7f7508ff1cd0>,0.0292969,0.851562,0.0546875,0.0546875,True,1,0.0,1.0,<puncta_detect_util.Puncta object at 0x7f74e6e64c10>,True,3625.621423979428,0.0,1.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/02-18-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_50 nM Cy3 ESCRT-I_200 nM Atto 488 ESCRT-II/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.139648,17475.074098705318,<puncta_detect_util.Puncta object at 0x7f7508fd6950>,0.10791,0.511719,0.139648,0.132812,True,1,1.0,1.0,<puncta_detect_util.Puncta object at 0x7f74e6e64590>,True,15122.551947082968,0.75,4.0,0.75,True
