folder,file name,image size,adjacent,initial frame,equatorial frame,equatorial size,value 0 ch0,puncta 0 ch0,x 0,y 0,w 0,h 0,quality ch0,num frame,new punctate ch0,new punctate ch1,puncta 0 ch1,quality ch1,value 0 ch1,colocalization ch0 ch1,colocalization weight ch0 ch1,new colocalization ch0 ch1,square quality
/mount/local5/chenxi/puncta-detection/data/02-18-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_50 nM Cy3 ESCRT-I_200 nM Dark ESCRT-II_400 nM Atto 488 CHMP6/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.12793,9108.020355949033,<puncta_detect_util.Puncta object at 0x7f7509149190>,0.102051,0.381836,0.12793,0.115234,True,1,True,True,<puncta_detect_util.Puncta object at 0x7f750909c8d0>,True,20012.321566139937,1.0,2.0,1.0,True
/mount/local5/chenxi/puncta-detection/data/02-18-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_50 nM Cy3 ESCRT-I_200 nM Dark ESCRT-II_400 nM Atto 488 CHMP6/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0732422,13736.178739844854,<puncta_detect_util.Puncta object at 0x7f7509149bd0>,0.122559,0.469238,0.0732422,0.0693359,True,1,True,True,<puncta_detect_util.Puncta object at 0x7f750909cd50>,True,23532.168874271792,1.0,1.0,1.0,True
/mount/local5/chenxi/puncta-detection/data/02-18-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_50 nM Cy3 ESCRT-I_200 nM Dark ESCRT-II_400 nM Atto 488 CHMP6/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0957031,387.8217180621732,<puncta_detect_util.Puncta object at 0x7f7509149550>,0.157227,0.633789,0.0957031,0.0957031,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f750909c290>,True,122.35654342218368,,,,True
/mount/local5/chenxi/puncta-detection/data/02-18-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_50 nM Cy3 ESCRT-I_200 nM Dark ESCRT-II_400 nM Atto 488 CHMP6/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0625,15007.543953562983,<puncta_detect_util.Puncta object at 0x7f7509149e10>,0.433594,0.427734,0.0625,0.0625,True,1,True,True,<puncta_detect_util.Puncta object at 0x7f750909cc10>,True,23720.59298175965,1.0,2.0,1.0,True
/mount/local5/chenxi/puncta-detection/data/02-18-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_50 nM Cy3 ESCRT-I_200 nM Dark ESCRT-II_400 nM Atto 488 CHMP6/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0917969,14209.71018496701,<puncta_detect_util.Puncta object at 0x7f7509149c90>,0.630859,0.94043,0.0917969,0.0898438,True,1,True,True,<puncta_detect_util.Puncta object at 0x7f750909c890>,True,19731.8981636497,1.0,1.0,1.0,True
/mount/local5/chenxi/puncta-detection/data/02-18-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_50 nM Cy3 ESCRT-I_200 nM Dark ESCRT-II_400 nM Atto 488 CHMP6/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0859375,16062.190539922964,<puncta_detect_util.Puncta object at 0x7f75091492d0>,0.796875,0.140625,0.0859375,0.0839844,True,1,True,True,<puncta_detect_util.Puncta object at 0x7f7509149290>,True,19391.37085456333,1.0,2.0,1.0,True
/mount/local5/chenxi/puncta-detection/data/02-18-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_50 nM Cy3 ESCRT-I_200 nM Dark ESCRT-II_400 nM Atto 488 CHMP6/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.09375,9808.685343738387,<puncta_detect_util.Puncta object at 0x7f7509149950>,0.900391,0.600098,0.09375,0.0927734,True,1,True,True,<puncta_detect_util.Puncta object at 0x7f75091495d0>,True,20977.29711945083,0.5,2.0,0.5,True
/mount/local5/chenxi/puncta-detection/data/02-18-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_50 nM Cy3 ESCRT-I_200 nM Dark ESCRT-II_400 nM Atto 488 CHMP6/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0673828,673.3426552819442,<puncta_detect_util.Puncta object at 0x7f74e6e64a10>,0.101074,0.335449,0.0673828,0.0673828,True,1,True,True,<puncta_detect_util.Puncta object at 0x7f75091d5490>,True,3618.6878558139297,1.0,1.0,1.0,True
/mount/local5/chenxi/puncta-detection/data/02-18-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_50 nM Cy3 ESCRT-I_200 nM Dark ESCRT-II_400 nM Atto 488 CHMP6/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0888672,24526.14085978293,<puncta_detect_util.Puncta object at 0x7f74e6e64c50>,0.340332,0.949219,0.0888672,0.0859375,True,1,True,True,<puncta_detect_util.Puncta object at 0x7f75091d5910>,True,23835.343651219202,1.0,1.0,1.0,True
/mount/local5/chenxi/puncta-detection/data/02-18-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_50 nM Cy3 ESCRT-I_200 nM Dark ESCRT-II_400 nM Atto 488 CHMP6/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0429688,15802.360263295923,<puncta_detect_util.Puncta object at 0x7f74e6e64cd0>,0.347656,0.103027,0.0429688,0.0419922,True,1,True,True,<puncta_detect_util.Puncta object at 0x7f750909c190>,True,27649.17926689576,1.0,1.0,1.0,True
