folder,file name,image size,adjacent,initial frame,equatorial frame,equatorial size,value 0 ch0,puncta 0 ch0,x 0,y 0,w 0,h 0,quality ch0,num frame,new punctate ch0,new punctate ch1,puncta 0 ch1,quality ch1,value 0 ch1,colocalization ch0 ch1,colocalization weight ch0 ch1,new colocalization ch0 ch1,square quality
/mount/local5/chenxi/puncta-detection/data/02-19-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/Repeat/10 nM Atto 488 CHMP4b/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0820312,60.554565398701925,<puncta_detect_util.Puncta object at 0x7f75090cba50>,0.0307617,0.105469,0.0615234,0.0820312,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f74e6d87390>,True,16.87229210614487,,,,False
/mount/local5/chenxi/puncta-detection/data/02-19-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/Repeat/10 nM Atto 488 CHMP4b/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.144531,71.35879810466167,<puncta_detect_util.Puncta object at 0x7f75090cb890>,0.136719,0.886719,0.144531,0.134766,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75090cb090>,True,9.140351885489054,,,,True
/mount/local5/chenxi/puncta-detection/data/02-19-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/Repeat/10 nM Atto 488 CHMP4b/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.177734,69.17721824115597,<puncta_detect_util.Puncta object at 0x7f75090cb590>,0.149414,0.17627,0.177734,0.166992,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75090cbe10>,True,49.21196215535883,,,,True
/mount/local5/chenxi/puncta-detection/data/02-19-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/Repeat/10 nM Atto 488 CHMP4b/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0839844,45.14296195162933,<puncta_detect_util.Puncta object at 0x7f74e6d873d0>,0.268555,0.139648,0.0839844,0.0839844,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75090cb950>,True,41.914409506422544,,,,True
/mount/local5/chenxi/puncta-detection/data/02-19-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/Repeat/10 nM Atto 488 CHMP4b/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0673828,67.69277948829722,<puncta_detect_util.Puncta object at 0x7f75090cb7d0>,0.58252,0.499512,0.0673828,0.0654297,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75090cb990>,True,12.581146813590749,,,,True
/mount/local5/chenxi/puncta-detection/data/02-19-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/Repeat/10 nM Atto 488 CHMP4b/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0449219,86.66573252410808,<puncta_detect_util.Puncta object at 0x7f75090cbf90>,0.655273,0.130371,0.0449219,0.0439453,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75090cb0d0>,True,66.97616497054105,,,,True
/mount/local5/chenxi/puncta-detection/data/02-19-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/Repeat/10 nM Atto 488 CHMP4b/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0585938,93.03764262843606,<puncta_detect_util.Puncta object at 0x7f74e6d87650>,0.730469,0.572266,0.0585938,0.0585938,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75090cba10>,True,55.91259057971001,,,,True
/mount/local5/chenxi/puncta-detection/data/02-19-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/Repeat/10 nM Atto 488 CHMP4b/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.119141,58.30639154658593,<puncta_detect_util.Puncta object at 0x7f75090cb810>,0.87207,0.299805,0.119141,0.115234,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75090cbe50>,True,61.033063132484585,,,,True
/mount/local5/chenxi/puncta-detection/data/02-19-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/Repeat/10 nM Atto 488 CHMP4b/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0722656,39.63695205998238,<puncta_detect_util.Puncta object at 0x7f74e6d877d0>,0.959961,0.647461,0.0722656,0.0722656,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f74e6d87490>,True,44.162548371598405,,,,True
/mount/local5/chenxi/puncta-detection/data/02-19-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/Repeat/10 nM Atto 488 CHMP4b/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0585938,70.81492224880412,<puncta_detect_util.Puncta object at 0x7f74e6dff5d0>,0.0302734,0.666016,0.0566406,0.0585938,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f74e6d42690>,True,41.838593083274645,,,,True
