folder,file name,image size,adjacent,initial frame,equatorial frame,equatorial size,value 0 ch0,puncta 0 ch0,x 0,y 0,w 0,h 0,quality ch0,num frame,new punctate ch0,new punctate ch1,puncta 0 ch1,quality ch1,value 0 ch1,colocalization ch0 ch1,colocalization weight ch0 ch1,new colocalization ch0 ch1,square quality
/mount/local5/chenxi/puncta-detection/data/02-19-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/Repeat/200 nM Dark ALG2_10 nM Atto 488 CHMP4b/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0585938,31.183437499999854,<puncta_detect_util.Puncta object at 0x7f7509242790>,0.172852,0.864258,0.0585938,0.0566406,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f74e6dff2d0>,True,38.04529086287084,,,,True
/mount/local5/chenxi/puncta-detection/data/02-19-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/Repeat/200 nM Dark ALG2_10 nM Atto 488 CHMP4b/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0566406,100.34951254394537,<puncta_detect_util.Puncta object at 0x7f75090dae50>,0.229492,0.688477,0.0566406,0.0566406,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f74e6dff5d0>,True,65.70413283170228,,,,True
/mount/local5/chenxi/puncta-detection/data/02-19-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/Repeat/200 nM Dark ALG2_10 nM Atto 488 CHMP4b/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.202148,38.103085824583104,<puncta_detect_util.Puncta object at 0x7f74e6dff7d0>,0.274902,0.150879,0.202148,0.174805,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f7509112650>,True,64.27629644111585,,,,False
/mount/local5/chenxi/puncta-detection/data/02-19-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/Repeat/200 nM Dark ALG2_10 nM Atto 488 CHMP4b/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.103516,83.89052922529481,<puncta_detect_util.Puncta object at 0x7f74e6dffc50>,0.59082,0.93457,0.103516,0.101562,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f74e6dff910>,True,76.31867629506041,,,,True
/mount/local5/chenxi/puncta-detection/data/02-19-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/Repeat/200 nM Dark ALG2_10 nM Atto 488 CHMP4b/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0771484,78.57894557303007,<puncta_detect_util.Puncta object at 0x7f74e6dff750>,0.79541,0.282715,0.0771484,0.0751953,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f74e6dffcd0>,True,-3.888231964969691,,,,True
/mount/local5/chenxi/puncta-detection/data/02-19-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/Repeat/200 nM Dark ALG2_10 nM Atto 488 CHMP4b/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0693359,95.31470588235288,<puncta_detect_util.Puncta object at 0x7f74e6d19a50>,0.802246,0.990723,0.0693359,0.0166016,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f74e6e92f50>,True,-3.1109370337217115,,,,False
/mount/local5/chenxi/puncta-detection/data/02-19-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/Repeat/200 nM Dark ALG2_10 nM Atto 488 CHMP4b/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0683594,92.02056041740934,<puncta_detect_util.Puncta object at 0x7f74e6cfd710>,0.819336,0.737305,0.0683594,0.0683594,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f74e6dff890>,True,63.794794644200465,,,,True
/mount/local5/chenxi/puncta-detection/data/02-19-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/Repeat/200 nM Dark ALG2_10 nM Atto 488 CHMP4b/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0986328,67.61460564522758,<puncta_detect_util.Puncta object at 0x7f74e6e92a10>,0.074707,0.147949,0.0986328,0.0966797,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f74e6e925d0>,True,54.027141845420374,,,,True
/mount/local5/chenxi/puncta-detection/data/02-19-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/Repeat/200 nM Dark ALG2_10 nM Atto 488 CHMP4b/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0527344,55.071813253273376,<puncta_detect_util.Puncta object at 0x7f75091ff850>,0.15332,0.294434,0.0527344,0.0517578,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f74e6e44550>,True,11.336058700209833,,,,True
/mount/local5/chenxi/puncta-detection/data/02-19-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/Repeat/200 nM Dark ALG2_10 nM Atto 488 CHMP4b/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0654297,67.25251327562364,<puncta_detect_util.Puncta object at 0x7f75091ffa10>,0.29248,0.230957,0.0654297,0.0654297,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f75091821d0>,True,51.265198702342786,,,,True
