folder,file name,image size,adjacent,initial frame,equatorial frame,equatorial size,value 0 ch0,puncta 0 ch0,x 0,y 0,w 0,h 0,quality ch0,num frame,new punctate ch0,new punctate ch1,puncta 0 ch1,quality ch1,value 0 ch1,colocalization ch0 ch1,colocalization weight ch0 ch1,new colocalization ch0 ch1,square quality
/mount/local5/chenxi/puncta-detection/data/02-20-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/10 nM Atto 488 CHMP4b/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0703125,34.45730837311612,<puncta_detect_util.Puncta object at 0x7fa79efd5910>,0.0273438,0.0429688,0.0546875,0.0703125,True,1,False,False,<puncta_detect_util.Puncta object at 0x7fa741ecb410>,True,53.47842887978368,,,,False
/mount/local5/chenxi/puncta-detection/data/02-20-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/10 nM Atto 488 CHMP4b/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0449219,97.65876068376065,<puncta_detect_util.Puncta object at 0x7fa741ecb290>,0.0751953,0.253418,0.0449219,0.0439453,True,1,False,False,<puncta_detect_util.Puncta object at 0x7fa79ed70f10>,True,82.94353310765655,,,,True
/mount/local5/chenxi/puncta-detection/data/02-20-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/10 nM Atto 488 CHMP4b/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0546875,99.03500781250023,<puncta_detect_util.Puncta object at 0x7fa741ecb050>,0.133789,0.191406,0.0527344,0.0546875,True,1,False,False,<puncta_detect_util.Puncta object at 0x7fa79ed29b10>,True,25.19688347682495,,,,True
/mount/local5/chenxi/puncta-detection/data/02-20-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/10 nM Atto 488 CHMP4b/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0878906,21.04767788377694,<puncta_detect_util.Puncta object at 0x7fa741ecbad0>,0.149414,0.723145,0.0878906,0.0869141,True,1,False,False,<puncta_detect_util.Puncta object at 0x7fa741ec33d0>,True,61.534998886118956,,,,True
/mount/local5/chenxi/puncta-detection/data/02-20-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/10 nM Atto 488 CHMP4b/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0859375,51.5883424706235,<puncta_detect_util.Puncta object at 0x7fa74218b850>,0.421875,0.630859,0.0859375,0.0820312,True,1,False,False,<puncta_detect_util.Puncta object at 0x7fa741ecba10>,True,41.7273161894218,,,,True
/mount/local5/chenxi/puncta-detection/data/02-20-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/10 nM Atto 488 CHMP4b/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0498047,77.9265307343635,<puncta_detect_util.Puncta object at 0x7fa741ecb110>,0.432129,0.0136719,0.0498047,0.0273438,True,1,False,False,<puncta_detect_util.Puncta object at 0x7fa741ecb310>,True,61.20313920368426,,,,False
/mount/local5/chenxi/puncta-detection/data/02-20-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/10 nM Atto 488 CHMP4b/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0429688,85.12344664332613,<puncta_detect_util.Puncta object at 0x7fa741ecb0d0>,0.489258,0.511719,0.0429688,0.0429688,True,1,False,False,<puncta_detect_util.Puncta object at 0x7fa741ecbfd0>,True,3.4626033240988363,,,,True
/mount/local5/chenxi/puncta-detection/data/02-20-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/10 nM Atto 488 CHMP4b/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0917969,60.6729314270101,<puncta_detect_util.Puncta object at 0x7fa741ecbd10>,0.680664,0.608398,0.0917969,0.0917969,True,1,False,False,<puncta_detect_util.Puncta object at 0x7fa741ecb8d0>,True,34.86583677989984,,,,True
/mount/local5/chenxi/puncta-detection/data/02-20-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/10 nM Atto 488 CHMP4b/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0791016,141.0380337519623,<puncta_detect_util.Puncta object at 0x7fa741ecbc90>,0.741699,0.375,0.0791016,0.0742188,True,1,False,False,<puncta_detect_util.Puncta object at 0x7fa741ecb950>,True,58.45322068354153,,,,True
/mount/local5/chenxi/puncta-detection/data/02-20-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/10 nM Atto 488 CHMP4b/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0390625,67.11321702391706,<puncta_detect_util.Puncta object at 0x7fa741ecb990>,0.830078,0.9375,0.0390625,0.0390625,True,1,False,False,<puncta_detect_util.Puncta object at 0x7fa741ecbf50>,True,59.32637906647824,,,,True
