folder,file name,image size,adjacent,initial frame,equatorial frame,equatorial size,value 0 ch0,puncta 0 ch0,x 0,y 0,w 0,h 0,quality ch0,num frame,new punctate ch0,new punctate ch1,puncta 0 ch1,quality ch1,value 0 ch1,colocalization ch0 ch1,colocalization weight ch0 ch1,new colocalization ch0 ch1,square quality
/mount/local5/chenxi/puncta-detection/data/02-20-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_10 nM Atto 488 CHMP4b/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.15332,36.0380873447798,<puncta_detect_util.Puncta object at 0x7fa79f293050>,0.081543,0.516113,0.15332,0.149414,True,1,False,False,<puncta_detect_util.Puncta object at 0x7fa74218b850>,True,43.934728952789555,,,,True
/mount/local5/chenxi/puncta-detection/data/02-20-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_10 nM Atto 488 CHMP4b/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.179688,58.03551986041384,<puncta_detect_util.Puncta object at 0x7fa741f62f50>,0.195312,0.234375,0.179688,0.166016,True,1,False,False,<puncta_detect_util.Puncta object at 0x7fa741ea3150>,True,27.48443465251512,,,,True
/mount/local5/chenxi/puncta-detection/data/02-20-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_10 nM Atto 488 CHMP4b/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0693359,47.81328837856336,<puncta_detect_util.Puncta object at 0x7fa79ecda4d0>,0.297363,0.978516,0.0693359,0.0429688,True,1,False,False,<puncta_detect_util.Puncta object at 0x7fa741ea3c90>,True,57.76626275510216,,,,False
/mount/local5/chenxi/puncta-detection/data/02-20-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_10 nM Atto 488 CHMP4b/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0878906,89.46823217012752,<puncta_detect_util.Puncta object at 0x7fa741df1f10>,0.333008,0.314941,0.0878906,0.0830078,True,1,False,False,<puncta_detect_util.Puncta object at 0x7fa741ea3b10>,True,47.325062863429594,,,,True
/mount/local5/chenxi/puncta-detection/data/02-20-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_10 nM Atto 488 CHMP4b/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.155273,103.37346786352282,<puncta_detect_util.Puncta object at 0x7fa741f30e90>,0.431152,0.519043,0.155273,0.147461,True,1,False,False,<puncta_detect_util.Puncta object at 0x7fa74a5f4dd0>,True,53.66973231101656,,,,True
/mount/local5/chenxi/puncta-detection/data/02-20-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_10 nM Atto 488 CHMP4b/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.201172,10.268832337528693,<puncta_detect_util.Puncta object at 0x7fa79ecda390>,0.450195,0.240723,0.201172,0.186523,True,1,False,False,<puncta_detect_util.Puncta object at 0x7fa741ea39d0>,True,50.313139395664166,,,,True
/mount/local5/chenxi/puncta-detection/data/02-20-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_10 nM Atto 488 CHMP4b/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0791016,35.43012405490981,<puncta_detect_util.Puncta object at 0x7fa741df1f90>,0.599121,0.77832,0.0791016,0.0761719,True,1,False,False,<puncta_detect_util.Puncta object at 0x7fa79ecda1d0>,True,19.65503478292294,,,,True
/mount/local5/chenxi/puncta-detection/data/02-20-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_10 nM Atto 488 CHMP4b/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.138672,56.81690758520699,<puncta_detect_util.Puncta object at 0x7fa78ec74890>,0.629883,0.375977,0.138672,0.126953,True,1,False,False,<puncta_detect_util.Puncta object at 0x7fa79ee3b350>,True,31.80608632123176,,,,True
/mount/local5/chenxi/puncta-detection/data/02-20-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_10 nM Atto 488 CHMP4b/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.164062,27.855876884000736,<puncta_detect_util.Puncta object at 0x7fa741f30f50>,0.806641,0.700684,0.164062,0.155273,True,1,False,False,<puncta_detect_util.Puncta object at 0x7fa79ee0a090>,True,58.14127986458743,,,,True
/mount/local5/chenxi/puncta-detection/data/02-20-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/200 nM Dark ALG2_10 nM Atto 488 CHMP4b/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.166016,67.20763962138199,<puncta_detect_util.Puncta object at 0x7fa741f62e10>,0.916992,0.810547,0.166016,0.15625,True,1,False,False,<puncta_detect_util.Puncta object at 0x7fa741ea3710>,True,13.868751896950926,,,,True
