folder,file name,image size,adjacent,initial frame,equatorial frame,equatorial size,value 0 ch0,puncta 0 ch0,x 0,y 0,w 0,h 0,quality ch0,num frame,new punctate ch0,new punctate ch1,puncta 0 ch1,quality ch1,value 0 ch1,colocalization ch0 ch1,colocalization weight ch0 ch1,new colocalization ch0 ch1,square quality,value 1 ch0,value 2 ch0,value 3 ch0,value 4 ch0,value 5 ch0,value 6 ch0,value 7 ch0,value 8 ch0,puncta 1 ch0,puncta 2 ch0,puncta 3 ch0,puncta 4 ch0,puncta 5 ch0,puncta 6 ch0,puncta 7 ch0,puncta 8 ch0,x 1,x 2,x 3,x 4,x 5,x 6,x 7,x 8,y 1,y 2,y 3,y 4,y 5,y 6,y 7,y 8,w 1,w 2,w 3,w 4,w 5,w 6,w 7,w 8,h 1,h 2,h 3,h 4,h 5,h 6,h 7,h 8,puncta 1 ch1,puncta 2 ch1,puncta 3 ch1,puncta 4 ch1,puncta 5 ch1,puncta 6 ch1,puncta 7 ch1,puncta 8 ch1,value 1 ch1,value 2 ch1,value 3 ch1,value 4 ch1,value 5 ch1,value 6 ch1,value 7 ch1,value 8 ch1,value 9 ch0,puncta 9 ch0,x 9,y 9,w 9,h 9,puncta 9 ch1,value 9 ch1
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL CY3 ALIX_3/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0751953,17.17323691773845,<puncta_detect_util.Puncta object at 0x7f6bc03bf7d0>,0.0263672,0.438965,0.0527344,0.0751953,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f6c7fe77750>,True,730.9949879982478,0.0,1.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL CY3 ALIX_3/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.120117,8.215539805770732,<puncta_detect_util.Puncta object at 0x7f6c801947d0>,0.0400391,0.92041,0.0800781,0.120117,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f6c7fe773d0>,True,670.6307378375454,0.0,2.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL CY3 ALIX_3/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0869141,37.216929108874865,<puncta_detect_util.Puncta object at 0x7f6c80462290>,0.0561523,0.0927734,0.0869141,0.0839844,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c7fe77890>,True,260.7854592442186,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL CY3 ALIX_3/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.117188,25.0616269063421,<puncta_detect_util.Puncta object at 0x7f6ccf189690>,0.102539,0.572266,0.117188,0.111328,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f6c7ffcb110>,True,16221.276795889666,0.0,2.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL CY3 ALIX_3/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0966797,19.752722613709466,<puncta_detect_util.Puncta object at 0x7f6c80462e90>,0.13916,0.918945,0.0966797,0.0957031,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f6c7fe77cd0>,True,12526.578658662802,0.0,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL CY3 ALIX_3/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.103516,53.73799892125135,<puncta_detect_util.Puncta object at 0x7f6c804624d0>,0.198242,0.986816,0.103516,0.0263672,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c7ffcbb50>,True,319.3413484315124,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL CY3 ALIX_3/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.150391,23.098456261816864,<puncta_detect_util.Puncta object at 0x7f6c80462950>,0.199219,0.210449,0.150391,0.143555,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f6bc03bf290>,True,22441.316726352852,0.0,2.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL CY3 ALIX_3/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0673828,29.09910874383786,<puncta_detect_util.Puncta object at 0x7f6bc03bf8d0>,0.231934,0.925781,0.0673828,0.0664062,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c80462fd0>,True,289.7520048992169,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL CY3 ALIX_3/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0439453,43.620859396572996,<puncta_detect_util.Puncta object at 0x7f6c80462f10>,0.347168,0.544922,0.0439453,0.0429688,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c7fe77e90>,True,97.19311358685036,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL CY3 ALIX_3/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.109375,54.27512484394492,<puncta_detect_util.Puncta object at 0x7f6c80462ad0>,0.373047,0.495605,0.109375,0.0673828,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c80462650>,True,204.4655714181922,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL CY3 ALIX_3/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.160156,29.102132925941078,<puncta_detect_util.Puncta object at 0x7f6c804621d0>,0.673828,0.199707,0.160156,0.155273,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f6c80462c90>,True,2738.298208521627,0.0,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL CY3 ALIX_3/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.140625,27.4803738284495,<puncta_detect_util.Puncta object at 0x7f6ccf189d10>,0.673828,0.808594,0.140625,0.128906,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f6c7fe777d0>,True,16838.32758726886,0.0,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL CY3 ALIX_3/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0537109,24.82871019008371,<puncta_detect_util.Puncta object at 0x7f6ccf189950>,0.723145,0.32373,0.0537109,0.0517578,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c7fe77050>,True,261.8606455666377,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL CY3 ALIX_3/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0703125,47.44326633474748,<puncta_detect_util.Puncta object at 0x7f6bc03bf790>,0.871094,0.407227,0.0703125,0.0683594,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c7fe77490>,True,351.6424006649322,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
