folder,file name,image size,adjacent,initial frame,equatorial frame,equatorial size,value 0 ch0,puncta 0 ch0,x 0,y 0,w 0,h 0,quality ch0,num frame,new punctate ch0,new punctate ch1,puncta 0 ch1,quality ch1,value 0 ch1,colocalization ch0 ch1,colocalization weight ch0 ch1,new colocalization ch0 ch1,square quality
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL Cy3 ALIX 2/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.109375,12.320097184742735,<puncta_detect_util.Puncta object at 0x7f6ccf066f10>,0.126953,0.421875,0.109375,0.105469,True,1,0.0,1.0,<puncta_detect_util.Puncta object at 0x7f6bc044eed0>,True,265.8435397956687,0.0,1.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL Cy3 ALIX 2/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.1875,28.29616403593309,<puncta_detect_util.Puncta object at 0x7f6c7fe68ad0>,0.410156,0.850586,0.1875,0.173828,True,1,0.0,1.0,<puncta_detect_util.Puncta object at 0x7f6bc044ee90>,True,19133.381912639707,0.0,3.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL Cy3 ALIX 2/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0683594,81.96570742234098,<puncta_detect_util.Puncta object at 0x7f6c7fe687d0>,0.598633,0.535156,0.0683594,0.0625,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f6bc0515310>,True,337.7896488175029,,,,True
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL Cy3 ALIX 2/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.201172,40.29021489118304,<puncta_detect_util.Puncta object at 0x7f6c7fe68350>,0.729492,0.234375,0.201172,0.185547,True,1,0.0,1.0,<puncta_detect_util.Puncta object at 0x7f6bc0515e50>,True,14779.35625933088,0.0,2.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL Cy3 ALIX 2/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.166016,41.03780810629951,<puncta_detect_util.Puncta object at 0x7f6c7fe68a10>,0.976562,0.620117,0.046875,0.166016,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f6bc0515bd0>,True,630.5548897418207,,,,False
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL Cy3 ALIX 2/Captured 11_3x.nd2-output,(series 1).tif,1024,False,0,0,0.152344,7.642032098880918,<puncta_detect_util.Puncta object at 0x7f6c7fe68cd0>,0.712891,0.778809,0.152344,0.151367,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f6bc0515050>,True,338.0708753901181,,,,True
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL Cy3 ALIX 2/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.131836,37.365567084027134,<puncta_detect_util.Puncta object at 0x7f6bc0515e90>,0.47998,0.666992,0.131836,0.126953,True,1,0.0,1.0,<puncta_detect_util.Puncta object at 0x7f6bc044e410>,True,13009.610634465014,0.0,4.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL Cy3 ALIX 2/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.196289,15.094052940896745,<puncta_detect_util.Puncta object at 0x7f6bc036fdd0>,0.540527,0.333984,0.196289,0.179688,True,1,0.0,1.0,<puncta_detect_util.Puncta object at 0x7f6bc044e850>,True,253.5702097123285,0.0,2.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL Cy3 ALIX 2/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.078125,-1.287044541310479,<puncta_detect_util.Puncta object at 0x7f6bc05152d0>,0.716797,0.477051,0.078125,0.0732422,True,1,0.0,1.0,<puncta_detect_util.Puncta object at 0x7f6bc044e0d0>,True,2340.5547974515025,0.0,1.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL Cy3 ALIX 2/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.128906,8.608595253275325,<puncta_detect_util.Puncta object at 0x7f6bc036fb90>,0.791992,0.402832,0.128906,0.124023,True,1,0.0,1.0,<puncta_detect_util.Puncta object at 0x7f6bc044eb10>,True,26239.88041365764,0.0,1.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL Cy3 ALIX 2/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.131836,18.411186966048263,<puncta_detect_util.Puncta object at 0x7f6bc036f090>,0.967773,0.566895,0.0644531,0.131836,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f6bc044eb90>,True,250.73082006798495,,,,False
