folder,file name,image size,adjacent,initial frame,equatorial frame,equatorial size,value 0 ch0,puncta 0 ch0,x 0,y 0,w 0,h 0,quality ch0,num frame,new punctate ch0,new punctate ch1,puncta 0 ch1,quality ch1,value 0 ch1,colocalization ch0 ch1,colocalization weight ch0 ch1,new colocalization ch0 ch1,square quality
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM PRD truncated ALIX_1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.209961,17.697897879196717,<puncta_detect_util.Puncta object at 0x7f6c80258610>,0.193848,0.175293,0.209961,0.192383,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f6bc04b2510>,True,472.32867869632355,,,,True
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM PRD truncated ALIX_1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0810547,19.43933041408127,<puncta_detect_util.Puncta object at 0x7f6c80258f10>,0.338379,0.972656,0.0810547,0.0507812,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f6bc04b21d0>,True,422.4441082145936,,,,False
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM PRD truncated ALIX_1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0625,10.947757573424042,<puncta_detect_util.Puncta object at 0x7f6c80258350>,0.711914,0.291992,0.0625,0.0625,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f6c8012af50>,True,634.5236861993262,,,,True
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM PRD truncated ALIX_1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0507812,18.52600832682765,<puncta_detect_util.Puncta object at 0x7f6c80258b90>,0.726562,0.189941,0.0507812,0.0498047,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f6bc04b24d0>,True,686.0909268329174,,,,True
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM PRD truncated ALIX_1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.134766,44.56628406007121,<puncta_detect_util.Puncta object at 0x7f6c80258410>,0.866211,0.136719,0.134766,0.128906,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f6bc04b2a90>,True,560.4743619597962,,,,True
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM PRD truncated ALIX_1/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.12207,20.59999999999991,<puncta_detect_util.Puncta object at 0x7f6c80328090>,0.0102539,0.120605,0.0205078,0.12207,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f6c800ada90>,True,673.9821970965322,,,,False
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM PRD truncated ALIX_1/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0820312,43.664216814693646,<puncta_detect_util.Puncta object at 0x7f6c803286d0>,0.1875,0.249023,0.0820312,0.0800781,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f6c7fed9c10>,True,515.9515521513667,,,,True
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM PRD truncated ALIX_1/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.222656,69.53302049602962,<puncta_detect_util.Puncta object at 0x7f6c7ffcbd90>,0.240234,0.366699,0.222656,0.186523,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f6c800ad790>,True,534.623204455052,,,,False
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM PRD truncated ALIX_1/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0839844,59.225536032407035,<puncta_detect_util.Puncta object at 0x7f6c80328510>,0.354492,0.680664,0.0839844,0.0820312,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f6c800adc90>,True,685.8698056848007,,,,True
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM PRD truncated ALIX_1/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0693359,51.63243534031017,<puncta_detect_util.Puncta object at 0x7f6c80328b10>,0.549316,0.43457,0.0693359,0.0683594,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f6c7ffcb850>,True,696.0594079657662,,,,True
