folder,file name,image size,adjacent,initial frame,equatorial frame,equatorial size,value 0 ch0,puncta 0 ch0,x 0,y 0,w 0,h 0,quality ch0,num frame,new punctate ch0,new punctate ch1,puncta 0 ch1,quality ch1,value 0 ch1,colocalization ch0 ch1,colocalization weight ch0 ch1,new colocalization ch0 ch1,square quality
/mount/local5/chenxi/puncta-detection/data/02-28-2022/DOPC_DOPI_DOPE_LBPA_Atto/100 uM CaCl2/100 nM bacterial truncated ALIX_1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0869141,23.28571011786653,<puncta_detect_util.Puncta object at 0x7f6ccf029650>,0.246582,0.982422,0.0869141,0.0351562,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f6c803289d0>,True,952.3387737619319,,,,False
/mount/local5/chenxi/puncta-detection/data/02-28-2022/DOPC_DOPI_DOPE_LBPA_Atto/100 uM CaCl2/100 nM bacterial truncated ALIX_1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0830078,79.45002909514096,<puncta_detect_util.Puncta object at 0x7f6c801bfe50>,0.284668,0.719727,0.0830078,0.0820312,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f6c80328550>,True,1035.8192448601585,,,,True
/mount/local5/chenxi/puncta-detection/data/02-28-2022/DOPC_DOPI_DOPE_LBPA_Atto/100 uM CaCl2/100 nM bacterial truncated ALIX_1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.107422,43.747769638667705,<puncta_detect_util.Puncta object at 0x7f6c804f8e50>,0.342773,0.245605,0.107422,0.102539,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f6c80328710>,True,1152.4515756628452,,,,True
/mount/local5/chenxi/puncta-detection/data/02-28-2022/DOPC_DOPI_DOPE_LBPA_Atto/100 uM CaCl2/100 nM bacterial truncated ALIX_1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.124023,28.91217421022884,<puncta_detect_util.Puncta object at 0x7f6c25cf20d0>,0.695801,0.314453,0.124023,0.113281,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f6c80328fd0>,True,1193.3077287389497,,,,True
/mount/local5/chenxi/puncta-detection/data/02-28-2022/DOPC_DOPI_DOPE_LBPA_Atto/100 uM CaCl2/100 nM bacterial truncated ALIX_1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0332031,40.712895706444215,<puncta_detect_util.Puncta object at 0x7f6c800c0150>,0.854492,0.808594,0.0332031,0.03125,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f6c80328a10>,True,1396.8374768089052,,,,True
/mount/local5/chenxi/puncta-detection/data/02-28-2022/DOPC_DOPI_DOPE_LBPA_Atto/100 uM CaCl2/100 nM bacterial truncated ALIX_1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0966797,46.84195589217097,<puncta_detect_util.Puncta object at 0x7f6c25cf2510>,0.90918,0.408691,0.0957031,0.0966797,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f6c80328650>,True,1328.6875093973172,,,,True
/mount/local5/chenxi/puncta-detection/data/02-28-2022/DOPC_DOPI_DOPE_LBPA_Atto/100 uM CaCl2/100 nM bacterial truncated ALIX_1/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0839844,25.004169107766756,<puncta_detect_util.Puncta object at 0x7f6c7ff329d0>,0.116211,0.82373,0.0839844,0.0810547,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f6bc0354590>,True,960.3808283846233,,,,True
/mount/local5/chenxi/puncta-detection/data/02-28-2022/DOPC_DOPI_DOPE_LBPA_Atto/100 uM CaCl2/100 nM bacterial truncated ALIX_1/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0644531,29.525568181818016,<puncta_detect_util.Puncta object at 0x7f6c80083850>,0.373047,0.0214844,0.0644531,0.0429688,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f6bc0354310>,True,751.5195305036705,,,,False
/mount/local5/chenxi/puncta-detection/data/02-28-2022/DOPC_DOPI_DOPE_LBPA_Atto/100 uM CaCl2/100 nM bacterial truncated ALIX_1/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.111328,3.2644829213618323,<puncta_detect_util.Puncta object at 0x7f6c80034710>,0.473633,0.675781,0.111328,0.109375,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f6c804a4910>,True,931.0211573236888,,,,True
/mount/local5/chenxi/puncta-detection/data/02-28-2022/DOPC_DOPI_DOPE_LBPA_Atto/100 uM CaCl2/100 nM bacterial truncated ALIX_1/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.152344,69.57498883452217,<puncta_detect_util.Puncta object at 0x7f6c7ff32f50>,0.547852,0.199219,0.152344,0.148438,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f6d74108c10>,True,996.2822493643757,,,,True
/mount/local5/chenxi/puncta-detection/data/02-28-2022/DOPC_DOPI_DOPE_LBPA_Atto/100 uM CaCl2/100 nM bacterial truncated ALIX_1/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0683594,-0.18150024921078511,<puncta_detect_util.Puncta object at 0x7f6c80083650>,0.642578,0.634766,0.0683594,0.0664062,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f6c80258f10>,True,1204.7511724415604,,,,True
/mount/local5/chenxi/puncta-detection/data/02-28-2022/DOPC_DOPI_DOPE_LBPA_Atto/100 uM CaCl2/100 nM bacterial truncated ALIX_1/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.111328,50.46311634204676,<puncta_detect_util.Puncta object at 0x7f6c7ff32c10>,0.681641,0.0615234,0.111328,0.107422,True,1,0.0,0.0,<puncta_detect_util.Puncta object at 0x7f6c804a4f10>,True,850.7019365442111,,,,True
