folder,file name,image size,adjacent,initial frame,equatorial frame,equatorial size,value 0 ch0,puncta 0 ch0,x 0,y 0,w 0,h 0,quality ch0,num frame,new punctate ch0,new punctate ch1,puncta 0 ch1,quality ch1,value 0 ch1,colocalization ch0 ch1,colocalization weight ch0 ch1,new colocalization ch0 ch1,square quality
/mount/local5/chenxi/puncta-detection/data/02-28-2022/DOPC_DOPI_DOPE_LBPA_Atto/No Calcium/100 nM Full length ALIX_3/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0576172,22.542297975719066,<puncta_detect_util.Puncta object at 0x7f6bc05153d0>,0.0166016,0.773926,0.0332031,0.0576172,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6bc05154d0>,True,398.73634322154794,,,,False
/mount/local5/chenxi/puncta-detection/data/02-28-2022/DOPC_DOPI_DOPE_LBPA_Atto/No Calcium/100 nM Full length ALIX_3/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0488281,20.867557869200482,<puncta_detect_util.Puncta object at 0x7f6c7fed09d0>,0.0732422,0.015625,0.0488281,0.03125,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6bc05155d0>,True,393.7700723937769,,,,False
/mount/local5/chenxi/puncta-detection/data/02-28-2022/DOPC_DOPI_DOPE_LBPA_Atto/No Calcium/100 nM Full length ALIX_3/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0439453,36.17632069472165,<puncta_detect_util.Puncta object at 0x7f6c7fed0150>,0.115234,0.0649414,0.0429688,0.0439453,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f6c7ff32350>,True,24069.92463077082,0.0,1.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/02-28-2022/DOPC_DOPI_DOPE_LBPA_Atto/No Calcium/100 nM Full length ALIX_3/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0507812,4.796447199078557,<puncta_detect_util.Puncta object at 0x7f6bc0515790>,0.166016,0.180664,0.0507812,0.0507812,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f6c7ffcba50>,True,2167.5354537987764,0.0,1.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/02-28-2022/DOPC_DOPI_DOPE_LBPA_Atto/No Calcium/100 nM Full length ALIX_3/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0585938,61.55598655254789,<puncta_detect_util.Puncta object at 0x7f6c8012a9d0>,0.176758,0.854492,0.0585938,0.0566406,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6ccf1f5bd0>,True,630.7511025912768,,,,True
/mount/local5/chenxi/puncta-detection/data/02-28-2022/DOPC_DOPI_DOPE_LBPA_Atto/No Calcium/100 nM Full length ALIX_3/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0576172,18.47124867289449,<puncta_detect_util.Puncta object at 0x7f6bc0515490>,0.186035,0.666992,0.0576172,0.0566406,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c80479110>,True,511.1477462878297,,,,True
/mount/local5/chenxi/puncta-detection/data/02-28-2022/DOPC_DOPI_DOPE_LBPA_Atto/No Calcium/100 nM Full length ALIX_3/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0449219,55.43132279311067,<puncta_detect_util.Puncta object at 0x7f6c8044afd0>,0.256836,0.0351562,0.0449219,0.0429688,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f6bc0515090>,True,7568.757347856155,0.0,1.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/02-28-2022/DOPC_DOPI_DOPE_LBPA_Atto/No Calcium/100 nM Full length ALIX_3/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0742188,42.27302025782683,<puncta_detect_util.Puncta object at 0x7f6c7feb8050>,0.257812,0.215332,0.0742188,0.0732422,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6bc0515350>,True,383.4919512925944,,,,True
/mount/local5/chenxi/puncta-detection/data/02-28-2022/DOPC_DOPI_DOPE_LBPA_Atto/No Calcium/100 nM Full length ALIX_3/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0371094,26.942061570390706,<puncta_detect_util.Puncta object at 0x7f6c88898fd0>,0.293457,0.56543,0.0361328,0.0371094,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6bc05156d0>,True,508.6055401814606,,,,True
/mount/local5/chenxi/puncta-detection/data/02-28-2022/DOPC_DOPI_DOPE_LBPA_Atto/No Calcium/100 nM Full length ALIX_3/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0546875,-8.230029794258826,<puncta_detect_util.Puncta object at 0x7f6c7fed0f90>,0.327148,0.223633,0.0546875,0.0527344,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6ccf09b750>,True,511.3232276524068,,,,True
/mount/local5/chenxi/puncta-detection/data/02-28-2022/DOPC_DOPI_DOPE_LBPA_Atto/No Calcium/100 nM Full length ALIX_3/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.078125,43.72473533587436,<puncta_detect_util.Puncta object at 0x7f6bc0515b50>,0.454102,0.207031,0.078125,0.0742188,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f6bc0515e50>,True,2723.6373769702914,0.0,2.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/02-28-2022/DOPC_DOPI_DOPE_LBPA_Atto/No Calcium/100 nM Full length ALIX_3/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0654297,49.877392324383436,<puncta_detect_util.Puncta object at 0x7f6cf9b26b90>,0.45752,0.673828,0.0654297,0.0625,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6ccf09b850>,True,513.8451176356675,,,,True
/mount/local5/chenxi/puncta-detection/data/02-28-2022/DOPC_DOPI_DOPE_LBPA_Atto/No Calcium/100 nM Full length ALIX_3/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0361328,57.49383674564797,<puncta_detect_util.Puncta object at 0x7f6c8012a550>,0.48291,0.45459,0.0361328,0.0361328,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f6bc0515a50>,True,1211.8413956422269,0.0,1.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/02-28-2022/DOPC_DOPI_DOPE_LBPA_Atto/No Calcium/100 nM Full length ALIX_3/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0322266,8.8256103763988,<puncta_detect_util.Puncta object at 0x7f6bc0515850>,0.489746,0.736816,0.0322266,0.0302734,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c91020b50>,True,545.0001243250922,,,,True
/mount/local5/chenxi/puncta-detection/data/02-28-2022/DOPC_DOPI_DOPE_LBPA_Atto/No Calcium/100 nM Full length ALIX_3/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0283203,87.63397925229992,<puncta_detect_util.Puncta object at 0x7f6c8044ab10>,0.501953,0.651855,0.0273438,0.0283203,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6bc0515ad0>,True,628.2612535612534,,,,True
/mount/local5/chenxi/puncta-detection/data/02-28-2022/DOPC_DOPI_DOPE_LBPA_Atto/No Calcium/100 nM Full length ALIX_3/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0664062,62.20392560794744,<puncta_detect_util.Puncta object at 0x7f6c80328310>,0.673828,0.787109,0.0664062,0.0625,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f6c80496f50>,True,10953.526112634987,0.0,1.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/02-28-2022/DOPC_DOPI_DOPE_LBPA_Atto/No Calcium/100 nM Full length ALIX_3/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0673828,49.10852149118682,<puncta_detect_util.Puncta object at 0x7f6c7feb89d0>,0.733887,0.642578,0.0673828,0.0664062,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6bc0515a90>,True,510.24672723171807,,,,True
/mount/local5/chenxi/puncta-detection/data/02-28-2022/DOPC_DOPI_DOPE_LBPA_Atto/No Calcium/100 nM Full length ALIX_3/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0791016,83.77329099349572,<puncta_detect_util.Puncta object at 0x7f6c8012a850>,0.78418,0.120605,0.0761719,0.0791016,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f6bc0515810>,True,5888.656233287873,0.0,1.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/02-28-2022/DOPC_DOPI_DOPE_LBPA_Atto/No Calcium/100 nM Full length ALIX_3/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.106445,57.952295529472394,<puncta_detect_util.Puncta object at 0x7f6c80328c50>,0.871582,0.540527,0.106445,0.102539,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f6bc0515210>,True,2256.2649414263815,0.0,2.0,0.0,True
