folder,file name,image size,adjacent,initial frame,equatorial frame,equatorial size,value 0 ch0,puncta 0 ch0,x 0,y 0,w 0,h 0,quality ch0,num frame,new punctate ch0,new punctate ch1,puncta 0 ch1,quality ch1,value 0 ch1,colocalization ch0 ch1,colocalization weight ch0 ch1,new colocalization ch0 ch1,square quality
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2_pre-incubated with 1 mM EGTA_1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.158203,96.81818074495277,<puncta_detect_util.Puncta object at 0x7f6c7fee1690>,0.0307617,0.608398,0.0615234,0.158203,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6bc042a490>,True,37.3039182069856,,,,False
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2_pre-incubated with 1 mM EGTA_1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.166016,83.35258015979753,<puncta_detect_util.Puncta object at 0x7f6c7fee1f10>,0.0888672,0.497559,0.166016,0.147461,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6bc042a250>,True,26.22853264274727,,,,False
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2_pre-incubated with 1 mM EGTA_1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0966797,104.55851511020228,<puncta_detect_util.Puncta object at 0x7f6c803d1990>,0.251465,0.948242,0.0966797,0.0957031,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6bc042afd0>,True,55.47294461835827,,,,True
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2_pre-incubated with 1 mM EGTA_1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.103516,33.74174333618521,<puncta_detect_util.Puncta object at 0x7f6c800eda50>,0.259766,0.693848,0.103516,0.0966797,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6bc042ae10>,True,54.02192953371059,,,,True
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2_pre-incubated with 1 mM EGTA_1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0976562,30.310098979165105,<puncta_detect_util.Puncta object at 0x7f6c7ffc8990>,0.349609,0.707031,0.0976562,0.0957031,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6bc042a050>,True,39.43621726822403,,,,True
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2_pre-incubated with 1 mM EGTA_1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0732422,55.145824284216815,<puncta_detect_util.Puncta object at 0x7f6c80496ed0>,0.490723,0.676758,0.0732422,0.0722656,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6bc042a090>,True,63.400659493805506,,,,True
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2_pre-incubated with 1 mM EGTA_1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.174805,54.243614697504654,<puncta_detect_util.Puncta object at 0x7f6c7fee1c10>,0.646973,0.881348,0.151367,0.174805,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6ccf189950>,True,34.17506807035352,,,,False
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2_pre-incubated with 1 mM EGTA_1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0537109,26.27914238756921,<puncta_detect_util.Puncta object at 0x7f6c88898fd0>,0.70752,0.830566,0.0537109,0.0537109,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6bc042a510>,True,77.752383688176,,,,True
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2_pre-incubated with 1 mM EGTA_1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.15625,113.39245206846363,<puncta_detect_util.Puncta object at 0x7f6ccf03a390>,0.875,0.0439453,0.15625,0.0878906,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c803d1910>,True,27.906185772509616,,,,False
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2_pre-incubated with 1 mM EGTA_1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.103516,145.31292173887823,<puncta_detect_util.Puncta object at 0x7f6c800ed2d0>,0.875977,0.77832,0.103516,0.101562,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6bc042a210>,True,31.54996616734843,,,,True
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2_pre-incubated with 1 mM EGTA_1/Captured 1_4x.nd2-output,(series 1).tif,1024,False,0,0,0.136719,51.794093668237565,<puncta_detect_util.Puncta object at 0x7f6bc042a310>,0.220703,0.272461,0.136719,0.121094,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c803276d0>,True,50.45410304335428,,,,False
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2_pre-incubated with 1 mM EGTA_1/Captured 1_4x.nd2-output,(series 1).tif,1024,False,0,0,0.138672,218.35245945545103,<puncta_detect_util.Puncta object at 0x7f6c803d1d50>,0.226074,0.889648,0.129883,0.138672,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6bc03bf1d0>,True,22.311484670944537,,,,True
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2_pre-incubated with 1 mM EGTA_1/Captured 1_4x.nd2-output,(series 1).tif,1024,False,0,0,0.128906,189.86555219830598,<puncta_detect_util.Puncta object at 0x7f6bc042ab90>,0.835938,0.978516,0.128906,0.0410156,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c801bf8d0>,True,56.648117702467516,,,,False
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2_pre-incubated with 1 mM EGTA_1/Captured 1_4x.nd2-output,(series 1).tif,1024,False,0,0,0.105469,254.92231551391114,<puncta_detect_util.Puncta object at 0x7f6c803d1f10>,0.980469,0.65625,0.0390625,0.105469,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c803273d0>,True,51.5146536373436,,,,False
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2_pre-incubated with 1 mM EGTA_1/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.197266,189.3900067043155,<puncta_detect_util.Puncta object at 0x7f6c803d1450>,0.291992,0.863281,0.197266,0.183594,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c80327650>,True,26.594472873272025,,,,True
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2_pre-incubated with 1 mM EGTA_1/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0878906,169.8522697720382,<puncta_detect_util.Puncta object at 0x7f6c803d1510>,0.618164,0.767578,0.0878906,0.0859375,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c801bf190>,True,23.06142820107425,,,,True
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2_pre-incubated with 1 mM EGTA_1/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.160156,157.91068764385045,<puncta_detect_util.Puncta object at 0x7f6c803d1e50>,0.916016,0.0297852,0.160156,0.0595703,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c80327a90>,True,42.87084077023428,,,,False
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2_pre-incubated with 1 mM EGTA_1/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0234375,182.82039761878013,<puncta_detect_util.Puncta object at 0x7f6c7fee1fd0>,0.988281,0.993164,0.0234375,0.0136719,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c801bff10>,True,34.41556490384619,,,,False
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2_pre-incubated with 1 mM EGTA_1/Captured 3.nd2-output,(series 1).tif,1024,False,0,0,0.0380859,153.29368686868656,<puncta_detect_util.Puncta object at 0x7f6bc04cf950>,0.0112305,0.0200195,0.0224609,0.0380859,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c7ff9ab50>,True,8.190954773869635,,,,False
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2_pre-incubated with 1 mM EGTA_1/Captured 3.nd2-output,(series 1).tif,1024,False,0,0,0.0839844,105.23257426754935,<puncta_detect_util.Puncta object at 0x7f6c8040c6d0>,0.0244141,0.754883,0.046875,0.0839844,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6bc04cfbd0>,True,71.33418198643312,,,,False
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2_pre-incubated with 1 mM EGTA_1/Captured 3.nd2-output,(series 1).tif,1024,False,0,0,0.148438,70.80881252549534,<puncta_detect_util.Puncta object at 0x7f6bc04cf7d0>,0.0444336,0.925781,0.0888672,0.148438,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6bc04cf690>,True,43.59372516551866,,,,False
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2_pre-incubated with 1 mM EGTA_1/Captured 3.nd2-output,(series 1).tif,1024,False,0,0,0.145508,108.34191130705676,<puncta_detect_util.Puncta object at 0x7f6c8040cc50>,0.046875,0.461426,0.09375,0.145508,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c7ff9ad90>,True,23.999101000625615,,,,False
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2_pre-incubated with 1 mM EGTA_1/Captured 3.nd2-output,(series 1).tif,1024,False,0,0,0.112305,118.57802243440437,<puncta_detect_util.Puncta object at 0x7f6c8040c790>,0.0537109,0.133301,0.105469,0.112305,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c7ff9a310>,True,28.665508445420528,,,,True
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2_pre-incubated with 1 mM EGTA_1/Captured 3.nd2-output,(series 1).tif,1024,False,0,0,0.0683594,36.17268634246102,<puncta_detect_util.Puncta object at 0x7f6c8040cd50>,0.0688477,0.657227,0.0595703,0.0683594,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c7ff9af10>,True,42.697811403042124,,,,False
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2_pre-incubated with 1 mM EGTA_1/Captured 3.nd2-output,(series 1).tif,1024,False,0,0,0.144531,70.29108191070691,<puncta_detect_util.Puncta object at 0x7f6bc04cf4d0>,0.109375,0.0483398,0.144531,0.0966797,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6bc04cf610>,True,19.06830233269693,,,,False
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2_pre-incubated with 1 mM EGTA_1/Captured 3.nd2-output,(series 1).tif,1024,False,0,0,0.202148,96.1545368211755,<puncta_detect_util.Puncta object at 0x7f6bc04cf0d0>,0.14502,0.797852,0.202148,0.201172,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6bc04cf8d0>,True,29.046544767865726,,,,True
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2_pre-incubated with 1 mM EGTA_1/Captured 3.nd2-output,(series 1).tif,1024,False,0,0,0.0966797,138.2040652624687,<puncta_detect_util.Puncta object at 0x7f6bc04cf9d0>,0.185059,0.984375,0.0966797,0.0292969,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c7ff9a950>,True,-7.338353397266019,,,,False
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2_pre-incubated with 1 mM EGTA_1/Captured 3.nd2-output,(series 1).tif,1024,False,0,0,0.0986328,108.17672181739908,<puncta_detect_util.Puncta object at 0x7f6c8040ca50>,0.193848,0.304688,0.0986328,0.0742188,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c7ff9af90>,True,57.47864452446902,,,,False
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2_pre-incubated with 1 mM EGTA_1/Captured 3.nd2-output,(series 1).tif,1024,False,0,0,0.0732422,45.40254163100144,<puncta_detect_util.Puncta object at 0x7f6c8040c710>,0.20459,0.222168,0.0615234,0.0732422,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c7ff9a610>,True,38.95462954503955,,,,False
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2_pre-incubated with 1 mM EGTA_1/Captured 3.nd2-output,(series 1).tif,1024,False,0,0,0.139648,43.24928421821278,<puncta_detect_util.Puncta object at 0x7f6c8040c110>,0.223145,0.585449,0.139648,0.12207,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c7ff9a110>,True,-5.473770111811518,,,,False
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/200 nM Atto 488 ALG-2_pre-incubated with 1 mM EGTA_1/Captured 3.nd2-output,(series 1).tif,1024,False,0,0,0.0712891,42.75328390084678,<puncta_detect_util.Puncta object at 0x7f6c8040c610>,0.234863,0.220703,0.0712891,0.0664062,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c7ff9ac50>,True,36.21870486602347,,,,True
