folder,file name,image size,adjacent,initial frame,equatorial frame,equatorial size,value 0 ch0,puncta 0 ch0,x 0,y 0,w 0,h 0,quality ch0,num frame,new punctate ch0,new punctate ch1,puncta 0 ch1,quality ch1,value 0 ch1,colocalization ch0 ch1,colocalization weight ch0 ch1,new colocalization ch0 ch1,square quality
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/E47A_E114A_E78C_Atto 488 ALG-2_1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0576172,32.39853380814202,<puncta_detect_util.Puncta object at 0x7f6c25b60290>,0.112793,0.362793,0.0576172,0.0576172,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6bc03bf950>,True,16.47934376776766,,,,True
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/E47A_E114A_E78C_Atto 488 ALG-2_1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.105469,127.84326596590472,<puncta_detect_util.Puncta object at 0x7f6c25b60dd0>,0.211914,0.341797,0.0957031,0.105469,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c7fee1290>,True,57.213328693641415,,,,True
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/E47A_E114A_E78C_Atto 488 ALG-2_1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0556641,48.48564041001055,<puncta_detect_util.Puncta object at 0x7f6ccf1f5bd0>,0.617676,0.484375,0.0556641,0.0546875,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c802d88d0>,True,61.565879016187864,,,,True
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/E47A_E114A_E78C_Atto 488 ALG-2_1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.15625,233.90773021776795,<puncta_detect_util.Puncta object at 0x7f6c25b60c50>,0.857422,0.698242,0.15625,0.152344,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c7fee1110>,True,13.217125164693698,,,,True
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/E47A_E114A_E78C_Atto 488 ALG-2_1/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0722656,229.77856443016753,<puncta_detect_util.Puncta object at 0x7f6c80143fd0>,0.989258,0.301758,0.0214844,0.0722656,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6bc04c2910>,True,66.17768302444438,,,,False
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/E47A_E114A_E78C_Atto 488 ALG-2_1/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.148438,253.49661104811503,<puncta_detect_util.Puncta object at 0x7f6c25b60ad0>,0.100586,0.546875,0.148438,0.136719,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c80328cd0>,True,2.52491671981079,,,,True
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/E47A_E114A_E78C_Atto 488 ALG-2_1/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0566406,266.39735540272795,<puncta_detect_util.Puncta object at 0x7f6c25b60210>,0.436523,0.601562,0.0566406,0.0546875,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c7feb8450>,True,42.83852742421686,,,,True
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/E47A_E114A_E78C_Atto 488 ALG-2_1/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0859375,66.32795148904097,<puncta_detect_util.Puncta object at 0x7f6c25b60190>,0.573242,0.385742,0.0859375,0.0800781,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c803d1650>,True,47.34146186620001,,,,True
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/E47A_E114A_E78C_Atto 488 ALG-2_1/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0947266,287.1895534033997,<puncta_detect_util.Puncta object at 0x7f6c80083150>,0.79248,0.832031,0.0947266,0.0898438,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c80328a10>,True,76.45224214150358,,,,True
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/E47A_E114A_E78C_Atto 488 ALG-2_1/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0820312,215.7948338917563,<puncta_detect_util.Puncta object at 0x7f6c8009f810>,0.830078,0.489258,0.0820312,0.0820312,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c8009fe50>,True,30.316300956401847,,,,True
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/E47A_E114A_E78C_Atto 488 ALG-2_1/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0976562,265.31452958664613,<puncta_detect_util.Puncta object at 0x7f6c80034e50>,0.924805,0.198242,0.0976562,0.0976562,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c80328c10>,True,63.94306480076966,,,,True
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/E47A_E114A_E78C_Atto 488 ALG-2_1/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.140625,209.43656887171755,<puncta_detect_util.Puncta object at 0x7f6c25b605d0>,0.931641,0.367188,0.136719,0.140625,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c80328650>,True,28.995943024394364,,,,True
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/E47A_E114A_E78C_Atto 488 ALG-2_1/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0634766,31.664398986661126,<puncta_detect_util.Puncta object at 0x7f6c25b60710>,0.958008,0.311035,0.0605469,0.0634766,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c80328090>,True,55.69785934825131,,,,True
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/E47A_E114A_E78C_Atto 488 ALG-2_1/Captured 3.nd2-output,(series 1).tif,1024,False,0,0,0.166016,190.79676203350346,<puncta_detect_util.Puncta object at 0x7f6c7feb0fd0>,0.170898,0.601562,0.166016,0.160156,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c7fee12d0>,True,25.353719032751542,,,,True
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/E47A_E114A_E78C_Atto 488 ALG-2_1/Captured 3.nd2-output,(series 1).tif,1024,False,0,0,0.149414,190.8025786333924,<puncta_detect_util.Puncta object at 0x7f6c7fee1550>,0.327637,0.650391,0.149414,0.138672,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c25b60cd0>,True,55.167423656745086,,,,True
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/E47A_E114A_E78C_Atto 488 ALG-2_1/Captured 3.nd2-output,(series 1).tif,1024,False,0,0,0.0771484,304.5874775163975,<puncta_detect_util.Puncta object at 0x7f6c8009f6d0>,0.480957,0.94043,0.0771484,0.0761719,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c7fee1490>,True,28.153728052748647,,,,True
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/E47A_E114A_E78C_Atto 488 ALG-2_1/Captured 3.nd2-output,(series 1).tif,1024,False,0,0,0.0849609,249.94207501512437,<puncta_detect_util.Puncta object at 0x7f6c25b9a990>,0.496582,0.614258,0.0849609,0.0839844,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c803d1c10>,True,47.09611802136442,,,,True
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/E47A_E114A_E78C_Atto 488 ALG-2_1/Captured 3.nd2-output,(series 1).tif,1024,False,0,0,0.105469,220.96119661144803,<puncta_detect_util.Puncta object at 0x7f6d4e2cc710>,0.947266,0.203613,0.105469,0.102539,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c803d1b10>,True,39.27981982118126,,,,True
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/E47A_E114A_E78C_Atto 488 ALG-2_1/Captured 3.nd2-output,(series 1).tif,1024,False,0,0,0.0664062,260.2183292941645,<puncta_detect_util.Puncta object at 0x7f6bc04cf250>,0.966797,0.902344,0.0664062,0.0664062,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c80034950>,True,60.40983083998617,,,,True
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/E47A_E114A_E78C_Atto 488 ALG-2_1/Captured 16.nd2-output,(series 1).tif,1024,False,0,0,0.200195,219.73668461942225,<puncta_detect_util.Puncta object at 0x7f6bc03bf450>,0.284668,0.547852,0.200195,0.189453,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6bc03bfc50>,True,-13.52641502473898,,,,True
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/E47A_E114A_E78C_Atto 488 ALG-2_1/Captured 16.nd2-output,(series 1).tif,1024,False,0,0,0.198242,159.9655624120569,<puncta_detect_util.Puncta object at 0x7f6bc03bf210>,0.481934,0.257812,0.198242,0.195312,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c80034a50>,True,41.32012054516781,,,,True
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/E47A_E114A_E78C_Atto 488 ALG-2_1/Captured 16.nd2-output,(series 1).tif,1024,False,0,0,0.179688,271.3656777463443,<puncta_detect_util.Puncta object at 0x7f6c80083110>,0.802734,0.556152,0.179688,0.165039,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c801a00d0>,True,33.258875739644736,,,,True
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/E47A_E114A_E78C_Atto 488 ALG-2_1/Captured 16.nd2-output,(series 1).tif,1024,False,0,0,0.0859375,273.1997463248131,<puncta_detect_util.Puncta object at 0x7f6c8009f490>,0.917969,0.680664,0.0859375,0.0839844,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c801a0c50>,True,-5.162005866366599,,,,True
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/E47A_E114A_E78C_Atto 488 ALG-2_1/Captured 9.nd2-output,(series 1).tif,1024,False,0,0,0.09375,289.5985703789229,<puncta_detect_util.Puncta object at 0x7f6bc03c4d50>,0.0078125,0.953125,0.015625,0.09375,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c801a0b50>,True,1.9649370629367695,,,,False
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/E47A_E114A_E78C_Atto 488 ALG-2_1/Captured 9.nd2-output,(series 1).tif,1024,False,0,0,0.15625,171.82123554329655,<puncta_detect_util.Puncta object at 0x7f6ccf027a90>,0.043457,0.769531,0.0869141,0.15625,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c801a08d0>,True,10.662723956512764,,,,False
/mount/local5/chenxi/puncta-detection/data/03-01-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto 647/E47A_E114A_E78C_Atto 488 ALG-2_1/Captured 9.nd2-output,(series 1).tif,1024,False,0,0,0.134766,200.52047130995652,<puncta_detect_util.Puncta object at 0x7f6c80034750>,0.121094,0.134277,0.134766,0.125977,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6ccefc2f90>,True,15.2268248767773,,,,True
