folder,file name,image size,adjacent,initial frame,equatorial frame,equatorial size,value 0 ch0,puncta 0 ch0,x 0,y 0,w 0,h 0,quality ch0,num frame,new punctate ch0,new punctate ch1,puncta 0 ch1,quality ch1,value 0 ch1,colocalization ch0 ch1,colocalization weight ch0 ch1,new colocalization ch0 ch1,square quality
/mount/local5/chenxi/puncta-detection/data/03-11-2022/69.5% DOPC_30% DOPS_0.5% Atto/100 nM Cy3 ALIX TEV Strep_repeat/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0791016,32.20589492811723,<puncta_detect_util.Puncta object at 0x7f277c3bbd10>,0.164551,0.767578,0.0791016,0.078125,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f277c3bb110>,True,755.9860953616039,,,,True
/mount/local5/chenxi/puncta-detection/data/03-11-2022/69.5% DOPC_30% DOPS_0.5% Atto/100 nM Cy3 ALIX TEV Strep_repeat/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0957031,25.793688298979305,<puncta_detect_util.Puncta object at 0x7f2717bceb90>,0.165039,0.933594,0.0957031,0.09375,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f277c3bb910>,True,613.7764479733573,,,,True
/mount/local5/chenxi/puncta-detection/data/03-11-2022/69.5% DOPC_30% DOPS_0.5% Atto/100 nM Cy3 ALIX TEV Strep_repeat/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0820312,45.78337276106777,<puncta_detect_util.Puncta object at 0x7f277c3c20d0>,0.219727,0.990234,0.0820312,0.0195312,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f277c3bb510>,True,840.7513888888889,,,,False
/mount/local5/chenxi/puncta-detection/data/03-11-2022/69.5% DOPC_30% DOPS_0.5% Atto/100 nM Cy3 ALIX TEV Strep_repeat/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.105469,-0.6716725229966869,<puncta_detect_util.Puncta object at 0x7f277c3bb190>,0.230469,0.188477,0.105469,0.0957031,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f277c3bb790>,True,506.996348899665,,,,True
/mount/local5/chenxi/puncta-detection/data/03-11-2022/69.5% DOPC_30% DOPS_0.5% Atto/100 nM Cy3 ALIX TEV Strep_repeat/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.107422,53.4401663968265,<puncta_detect_util.Puncta object at 0x7f277c3bbc90>,0.235352,0.0927734,0.107422,0.103516,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f277c3bb450>,True,613.1930494009825,,,,True
/mount/local5/chenxi/puncta-detection/data/03-11-2022/69.5% DOPC_30% DOPS_0.5% Atto/100 nM Cy3 ALIX TEV Strep_repeat/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.107422,35.514933604687485,<puncta_detect_util.Puncta object at 0x7f277c3c0250>,0.241211,0.418457,0.107422,0.100586,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f277c3bb390>,True,660.5841908247271,,,,True
/mount/local5/chenxi/puncta-detection/data/03-11-2022/69.5% DOPC_30% DOPS_0.5% Atto/100 nM Cy3 ALIX TEV Strep_repeat/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0839844,37.535925428011524,<puncta_detect_util.Puncta object at 0x7f277c3bb650>,0.298828,0.60791,0.0839844,0.0810547,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f277c3bbb10>,True,746.4263910480631,,,,True
/mount/local5/chenxi/puncta-detection/data/03-11-2022/69.5% DOPC_30% DOPS_0.5% Atto/100 nM Cy3 ALIX TEV Strep_repeat/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.110352,57.399981246429434,<puncta_detect_util.Puncta object at 0x7f277c3bb3d0>,0.318848,0.256348,0.106445,0.110352,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f277c3bbe50>,True,485.45790151772553,,,,True
/mount/local5/chenxi/puncta-detection/data/03-11-2022/69.5% DOPC_30% DOPS_0.5% Atto/100 nM Cy3 ALIX TEV Strep_repeat/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.125977,-35.187982915938846,<puncta_detect_util.Puncta object at 0x7f277c3bb310>,0.496582,0.964844,0.125977,0.0664062,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f277c3bb8d0>,True,711.9907693333835,,,,False
/mount/local5/chenxi/puncta-detection/data/03-11-2022/69.5% DOPC_30% DOPS_0.5% Atto/100 nM Cy3 ALIX TEV Strep_repeat/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0615234,81.58177456871454,<puncta_detect_util.Puncta object at 0x7f277c3bb4d0>,0.682617,0.133301,0.0605469,0.0615234,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f277c3bbb50>,True,829.5161281807623,,,,True
/mount/local5/chenxi/puncta-detection/data/03-11-2022/69.5% DOPC_30% DOPS_0.5% Atto/100 nM Cy3 ALIX TEV Strep_repeat/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0634766,75.9752699251826,<puncta_detect_util.Puncta object at 0x7f277c3bb850>,0.684082,0.875,0.0634766,0.0625,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f27df816550>,True,638.9540660225443,,,,True
/mount/local5/chenxi/puncta-detection/data/03-11-2022/69.5% DOPC_30% DOPS_0.5% Atto/100 nM Cy3 ALIX TEV Strep_repeat/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.185547,26.461803497390065,<puncta_detect_util.Puncta object at 0x7f277c3bb090>,0.727539,0.73584,0.185547,0.174805,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f277c3bb490>,True,509.83947583486906,,,,True
/mount/local5/chenxi/puncta-detection/data/03-11-2022/69.5% DOPC_30% DOPS_0.5% Atto/100 nM Cy3 ALIX TEV Strep_repeat/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0507812,3.27205591193524,<puncta_detect_util.Puncta object at 0x7f2717bceb10>,0.880859,0.976562,0.0507812,0.0429688,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f277c3bb7d0>,True,248.50006171576297,,,,False
/mount/local5/chenxi/puncta-detection/data/03-11-2022/69.5% DOPC_30% DOPS_0.5% Atto/100 nM Cy3 ALIX TEV Strep_repeat/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0869141,6.65866959861205,<puncta_detect_util.Puncta object at 0x7f2717b93fd0>,0.506348,0.609375,0.0869141,0.0859375,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f2717b93210>,True,794.9160396032025,,,,True
/mount/local5/chenxi/puncta-detection/data/03-11-2022/69.5% DOPC_30% DOPS_0.5% Atto/100 nM Cy3 ALIX TEV Strep_repeat/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0527344,23.183513255313756,<puncta_detect_util.Puncta object at 0x7f27df8bd1d0>,0.508789,0.151367,0.0527344,0.0507812,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f2717b93050>,True,892.8645684484727,,,,True
/mount/local5/chenxi/puncta-detection/data/03-11-2022/69.5% DOPC_30% DOPS_0.5% Atto/100 nM Cy3 ALIX TEV Strep_repeat/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.126953,32.46754419925173,<puncta_detect_util.Puncta object at 0x7f2717b935d0>,0.569336,0.726074,0.126953,0.120117,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f27df973310>,True,300.0522758190382,,,,True
/mount/local5/chenxi/puncta-detection/data/03-11-2022/69.5% DOPC_30% DOPS_0.5% Atto/100 nM Cy3 ALIX TEV Strep_repeat/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0605469,46.53045949946181,<puncta_detect_util.Puncta object at 0x7f2717b93d90>,0.608398,0.422852,0.0605469,0.0605469,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f2717b93350>,True,961.8430590352514,,,,True
/mount/local5/chenxi/puncta-detection/data/03-11-2022/69.5% DOPC_30% DOPS_0.5% Atto/100 nM Cy3 ALIX TEV Strep_repeat/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.136719,38.406951818060406,<puncta_detect_util.Puncta object at 0x7f2717b938d0>,0.775391,0.617188,0.136719,0.128906,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f2717b93790>,True,857.0725883270129,,,,True
/mount/local5/chenxi/puncta-detection/data/03-11-2022/69.5% DOPC_30% DOPS_0.5% Atto/100 nM Cy3 ALIX TEV Strep_repeat/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.128906,28.725004879819153,<puncta_detect_util.Puncta object at 0x7f2717b93110>,0.777344,0.459961,0.128906,0.121094,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f2717b93a10>,True,957.0130943694821,,,,True
/mount/local5/chenxi/puncta-detection/data/03-11-2022/69.5% DOPC_30% DOPS_0.5% Atto/100 nM Cy3 ALIX TEV Strep_repeat/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0820312,31.925182243096515,<puncta_detect_util.Puncta object at 0x7f2717b93450>,0.798828,0.824707,0.0820312,0.0810547,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f2717b93610>,True,885.5557817009171,,,,True
/mount/local5/chenxi/puncta-detection/data/03-11-2022/69.5% DOPC_30% DOPS_0.5% Atto/100 nM Cy3 ALIX TEV Strep_repeat/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0507812,27.915210226878116,<puncta_detect_util.Puncta object at 0x7f2717b933d0>,0.828125,0.192871,0.0507812,0.0498047,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f2717b93b10>,True,770.6783589268534,,,,True
/mount/local5/chenxi/puncta-detection/data/03-11-2022/69.5% DOPC_30% DOPS_0.5% Atto/100 nM Cy3 ALIX TEV Strep_repeat/Captured 3.nd2-output,(series 1).tif,1024,False,0,0,0.12793,24.556336208431276,<puncta_detect_util.Puncta object at 0x7f2717b93890>,0.0517578,0.0883789,0.103516,0.12793,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f277ba9ffd0>,True,500.1523260015442,,,,False
/mount/local5/chenxi/puncta-detection/data/03-11-2022/69.5% DOPC_30% DOPS_0.5% Atto/100 nM Cy3 ALIX TEV Strep_repeat/Captured 3.nd2-output,(series 1).tif,1024,False,0,0,0.133789,21.076442764399417,<puncta_detect_util.Puncta object at 0x7f2717b93490>,0.0546875,0.217285,0.109375,0.133789,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f27df973610>,True,417.40614970287197,,,,False
/mount/local5/chenxi/puncta-detection/data/03-11-2022/69.5% DOPC_30% DOPS_0.5% Atto/100 nM Cy3 ALIX TEV Strep_repeat/Captured 3.nd2-output,(series 1).tif,1024,False,0,0,0.155273,-15.421938020927882,<puncta_detect_util.Puncta object at 0x7f2717b93310>,0.148926,0.296387,0.102539,0.155273,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f27df973c10>,True,320.1481102256321,,,,False
