folder,file name,image size,adjacent,initial frame,equatorial frame,equatorial size,value 0 ch0,puncta 0 ch0,x 0,y 0,w 0,h 0,quality ch0,num frame,new punctate ch0,new punctate ch1,puncta 0 ch1,quality ch1,value 0 ch1,colocalization ch0 ch1,colocalization weight ch0 ch1,new colocalization ch0 ch1,square quality
/mount/local5/chenxi/puncta-detection/data/03-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/100 nM Cy3 ALIX Tev Strep_10 nM Atto 488 CHMP4b_3/Captured 2_.nd2-output,(series 1).tif,1024,False,0,0,0.119141,54.896335791187084,<puncta_detect_util.Puncta object at 0x7ff89b7b3390>,0.0253906,0.53125,0.0507812,0.119141,True,1,False,False,<puncta_detect_util.Puncta object at 0x7ff7d3cf5c50>,True,724.1588173146229,,,,False
/mount/local5/chenxi/puncta-detection/data/03-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/100 nM Cy3 ALIX Tev Strep_10 nM Atto 488 CHMP4b_3/Captured 2_.nd2-output,(series 1).tif,1024,False,0,0,0.0976562,38.626711150279334,<puncta_detect_util.Puncta object at 0x7ff7d3e0cd10>,0.0419922,0.158203,0.0839844,0.0976562,True,1,False,False,<puncta_detect_util.Puncta object at 0x7ff7d3cf56d0>,True,517.3082228678782,,,,False
/mount/local5/chenxi/puncta-detection/data/03-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/100 nM Cy3 ALIX Tev Strep_10 nM Atto 488 CHMP4b_3/Captured 2_.nd2-output,(series 1).tif,1024,False,0,0,0.113281,56.72438309045219,<puncta_detect_util.Puncta object at 0x7ff89b7b3a90>,0.287109,0.768555,0.113281,0.107422,True,1,False,False,<puncta_detect_util.Puncta object at 0x7ff7d3cf5a50>,True,551.2131672690516,,,,True
/mount/local5/chenxi/puncta-detection/data/03-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/100 nM Cy3 ALIX Tev Strep_10 nM Atto 488 CHMP4b_3/Captured 2_.nd2-output,(series 1).tif,1024,False,0,0,0.142578,72.25236093163858,<puncta_detect_util.Puncta object at 0x7ff7d3e0c250>,0.522461,0.608887,0.142578,0.12793,True,1,False,False,<puncta_detect_util.Puncta object at 0x7ff7d3cf5fd0>,True,685.7412697876184,,,,False
/mount/local5/chenxi/puncta-detection/data/03-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/100 nM Cy3 ALIX Tev Strep_10 nM Atto 488 CHMP4b_3/Captured 2_.nd2-output,(series 1).tif,1024,False,0,0,0.0839844,54.060658436214,<puncta_detect_util.Puncta object at 0x7ff7d3e0cd90>,0.530273,0.0234375,0.0839844,0.0429688,True,1,False,False,<puncta_detect_util.Puncta object at 0x7ff89b7a1650>,True,408.020590627259,,,,False
/mount/local5/chenxi/puncta-detection/data/03-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/100 nM Cy3 ALIX Tev Strep_10 nM Atto 488 CHMP4b_3/Captured 2_.nd2-output,(series 1).tif,1024,False,0,0,0.0605469,54.95609229168804,<puncta_detect_util.Puncta object at 0x7ff7d3e0cc90>,0.59668,0.505371,0.0605469,0.0595703,True,1,False,False,<puncta_detect_util.Puncta object at 0x7ff7d3cf5bd0>,True,791.7922090171669,,,,True
/mount/local5/chenxi/puncta-detection/data/03-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/100 nM Cy3 ALIX Tev Strep_10 nM Atto 488 CHMP4b_3/Captured 2_.nd2-output,(series 1).tif,1024,False,0,0,0.115234,31.43589029864461,<puncta_detect_util.Puncta object at 0x7ff7d3e0cd50>,0.65332,0.87793,0.115234,0.103516,True,1,False,False,<puncta_detect_util.Puncta object at 0x7ff7d3cf5550>,True,630.2736144499777,,,,False
/mount/local5/chenxi/puncta-detection/data/03-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/100 nM Cy3 ALIX Tev Strep_10 nM Atto 488 CHMP4b_3/Captured 2_.nd2-output,(series 1).tif,1024,False,0,0,0.0664062,44.299645034853256,<puncta_detect_util.Puncta object at 0x7ff89b7b3d90>,0.757812,0.279785,0.0664062,0.0654297,True,1,False,False,<puncta_detect_util.Puncta object at 0x7ff7d3cf5450>,True,791.2233594895943,,,,True
/mount/local5/chenxi/puncta-detection/data/03-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/100 nM Cy3 ALIX Tev Strep_10 nM Atto 488 CHMP4b_3/Captured 2_.nd2-output,(series 1).tif,1024,False,0,0,0.0634766,54.431512256203405,<puncta_detect_util.Puncta object at 0x7ff7d3e0c7d0>,0.765137,0.55127,0.0634766,0.0615234,True,1,False,False,<puncta_detect_util.Puncta object at 0x7ff89b7b3e50>,True,645.9104238861341,,,,True
/mount/local5/chenxi/puncta-detection/data/03-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/100 nM Cy3 ALIX Tev Strep_10 nM Atto 488 CHMP4b_3/Captured 2_.nd2-output,(series 1).tif,1024,False,0,0,0.118164,56.641317062064445,<puncta_detect_util.Puncta object at 0x7ff7d3e0cc10>,0.849121,0.538574,0.118164,0.112305,True,1,False,False,<puncta_detect_util.Puncta object at 0x7ff7d3cf5810>,True,527.3817814010454,,,,True
/mount/local5/chenxi/puncta-detection/data/03-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/100 nM Cy3 ALIX Tev Strep_10 nM Atto 488 CHMP4b_3/Captured 2_.nd2-output,(series 1).tif,1024,False,0,0,0.0625,72.45169201958606,<puncta_detect_util.Puncta object at 0x7ff7d3e0c490>,0.853516,0.936035,0.0625,0.0595703,True,1,False,False,<puncta_detect_util.Puncta object at 0x7ff7d3cf57d0>,True,649.9435095052681,,,,True
/mount/local5/chenxi/puncta-detection/data/03-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/100 nM Cy3 ALIX Tev Strep_10 nM Atto 488 CHMP4b_3/Captured 2_.nd2-output,(series 1).tif,1024,False,0,0,0.0527344,87.19295425465225,<puncta_detect_util.Puncta object at 0x7ff89b7b33d0>,0.864258,0.186035,0.0527344,0.0517578,True,1,False,False,<puncta_detect_util.Puncta object at 0x7ff7d3cf5890>,True,662.2562958378462,,,,True
/mount/local5/chenxi/puncta-detection/data/03-14-2022/69.5_ DOPC_30_ DOPS_0.5_ Atto/100 nM Cy3 ALIX Tev Strep_10 nM Atto 488 CHMP4b_3/Captured 2_.nd2-output,(series 1).tif,1024,False,0,0,0.0927734,33.187671613162365,<puncta_detect_util.Puncta object at 0x7ff7d3e0cb90>,0.925293,0.114258,0.0927734,0.0917969,True,1,False,False,<puncta_detect_util.Puncta object at 0x7ff7d3cf5750>,True,568.4304624075944,,,,True
