folder,file name,image size,adjacent,initial frame,equatorial frame,equatorial size,value 0 ch0,puncta 0 ch0,x 0,y 0,w 0,h 0,quality ch0,num frame,new punctate ch0,new punctate ch1,puncta 0 ch1,quality ch1,value 0 ch1,colocalization ch0 ch1,colocalization weight ch0 ch1,new colocalization ch0 ch1,square quality
/mount/local5/chenxi/puncta-detection/data/12-14-2021/DOPC_30_DOPS_Att0/200 nM triple mutant ALG2/100 uM CaCl2/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0703125,189.4050841203516,<puncta_detect_util.Puncta object at 0x7ff89b887a90>,0.365234,0.936523,0.0703125,0.0683594,True,1,False,True,<puncta_detect_util.Puncta object at 0x7ff89b6cc890>,True,1.8752665048923518,0.0,2.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/12-14-2021/DOPC_30_DOPS_Att0/200 nM triple mutant ALG2/100 uM CaCl2/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0693359,131.58047699593772,<puncta_detect_util.Puncta object at 0x7ff89b887fd0>,0.564941,0.175293,0.0693359,0.0693359,True,1,False,True,<puncta_detect_util.Puncta object at 0x7ff89b8c9590>,True,94.69644601078517,0.0,1.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/12-14-2021/DOPC_30_DOPS_Att0/200 nM triple mutant ALG2/100 uM CaCl2/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0292969,277.92652728906205,<puncta_detect_util.Puncta object at 0x7ff89b887510>,0.729492,0.130371,0.0292969,0.0283203,True,1,False,True,<puncta_detect_util.Puncta object at 0x7ff89b6cc750>,True,115.95540018075917,0.0,1.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/12-14-2021/DOPC_30_DOPS_Att0/200 nM triple mutant ALG2/100 uM CaCl2/Captured 6.nd2-output,(series 1).tif,1024,False,0,0,0.0332031,194.09146232797593,<puncta_detect_util.Puncta object at 0x7ff89b8c9b50>,0.881836,0.374512,0.0332031,0.0322266,True,1,False,False,<puncta_detect_util.Puncta object at 0x7ff9023caa90>,True,101.81302867867407,,,,True
/mount/local5/chenxi/puncta-detection/data/12-14-2021/DOPC_30_DOPS_Att0/200 nM triple mutant ALG2/100 uM CaCl2/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0625,165.15446852860896,<puncta_detect_util.Puncta object at 0x7ff89b8870d0>,0.0673828,0.609375,0.0625,0.0625,True,1,False,False,<puncta_detect_util.Puncta object at 0x7ff89b8c9610>,True,39.1307919431697,,,,True
/mount/local5/chenxi/puncta-detection/data/12-14-2021/DOPC_30_DOPS_Att0/200 nM triple mutant ALG2/100 uM CaCl2/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0546875,157.66716685946903,<puncta_detect_util.Puncta object at 0x7ff89b887b50>,0.149414,0.647461,0.0546875,0.0527344,True,1,False,False,<puncta_detect_util.Puncta object at 0x7ff89b8c96d0>,True,31.269335426477937,,,,True
/mount/local5/chenxi/puncta-detection/data/12-14-2021/DOPC_30_DOPS_Att0/200 nM triple mutant ALG2/100 uM CaCl2/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0595703,170.9746216288545,<puncta_detect_util.Puncta object at 0x7ff89b887490>,0.319824,0.214355,0.0595703,0.0595703,True,1,False,True,<puncta_detect_util.Puncta object at 0x7ff89b8c9cd0>,True,30.1382239382242,0.0,2.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/12-14-2021/DOPC_30_DOPS_Att0/200 nM triple mutant ALG2/100 uM CaCl2/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0683594,187.20532458713933,<puncta_detect_util.Puncta object at 0x7ff89b887750>,0.504883,0.709473,0.0683594,0.0673828,True,1,False,True,<puncta_detect_util.Puncta object at 0x7ff89b8c92d0>,True,51.459743409670864,0.0,2.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/12-14-2021/DOPC_30_DOPS_Att0/200 nM triple mutant ALG2/100 uM CaCl2/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0546875,180.96713349898346,<puncta_detect_util.Puncta object at 0x7ff89b8877d0>,0.505859,0.584961,0.0546875,0.0527344,True,1,False,True,<puncta_detect_util.Puncta object at 0x7ff89b8c99d0>,True,93.3240592699758,0.0,1.0,0.0,True
/mount/local5/chenxi/puncta-detection/data/12-14-2021/DOPC_30_DOPS_Att0/200 nM triple mutant ALG2/100 uM CaCl2/Captured 7.nd2-output,(series 1).tif,1024,False,0,0,0.0605469,181.23127257938904,<puncta_detect_util.Puncta object at 0x7ff89b887210>,0.674805,0.585938,0.0605469,0.0585938,True,1,False,True,<puncta_detect_util.Puncta object at 0x7ff89b8c9650>,True,91.3246830252101,0.0,3.0,0.0,True
